price,predicted_price,difference,link,source
900000.0,360334.9519103716,539665.0480896283,https://www.99.co/singapore/sale/property/58-seng-poh-road-hdb-rQfjJLtUm9dJHRPR2rECjE?enquiry_position=7646&enquiry_source=Search,Co 99
1280000.0,741372.6934179633,538627.3065820367,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-21402434,Property Guru
880000.0,356903.47408101184,523096.52591898816,https://www.99.co/singapore/sale/property/126-ang-mo-kio-avenue-3-hdb-wxSJTjc3BAM3C47MtgK2Kh?enquiry_position=1928&enquiry_source=Search,Co 99
1280000.0,763359.5282656882,516640.4717343118,https://www.99.co/singapore/sale/property/92-dawson-road-hdb-v4A83dqX3dhAyTN57aQGqM?enquiry_position=4478&enquiry_source=Search,Co 99
1280000.0,787186.2197177078,492813.78028229217,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22935779,Property Guru
1300000.0,813175.196360102,486824.80363989796,https://www.99.co/singapore/sale/property/90-dawson-road-hdb-xpxwq2XHp7TZHzgPVhKgvk?enquiry_position=4776&enquiry_source=Search,Co 99
1198000.0,719250.8908943618,478749.1091056382,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-21586882,Property Guru
910000.0,435962.11028011993,474037.88971988007,https://www.propertyguru.com.sg/listing/hdb-for-sale-28-dover-crescent-22927022,Property Guru
1000000.0,533846.1042758087,466153.89572419133,https://www.propertyguru.com.sg/listing/hdb-for-sale-337-sembawang-crescent-22605050,Property Guru
1200000.0,736416.5611338409,463583.43886615906,https://www.propertyguru.com.sg/listing/hdb-for-sale-92-dawson-road-22380763,Property Guru
1180000.0,719116.5292555691,460883.4707444309,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22394605,Property Guru
1050000.0,594496.3028684204,455503.6971315796,https://www.propertyguru.com.sg/listing/hdb-for-sale-50-stirling-road-22887563,Property Guru
1500000.0,1046091.5820690941,453908.41793090594,https://www.propertyguru.com.sg/listing/hdb-for-sale-9b-boon-tiong-road-22321764,Property Guru
1238888.0,790067.1118111891,448820.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22813119,Property Guru
1238888.0,790067.1118111891,448820.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22962914,Property Guru
1238888.0,790067.1118111891,448820.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22940610,Property Guru
1238888.0,790067.1118111891,448820.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22822059,Property Guru
1238888.0,790067.1118111891,448820.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22813185,Property Guru
1238888.0,790067.1118111891,448820.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22924996,Property Guru
