address,link,price,bedrooms,bathrooms,floor_area,year_built,date_scraped
143 Lorong 2 Toa Payoh,https://www.99.co/singapore/sale/property/143-lorong-2-toa-payoh-hdb-sPPzZiy3P4YxgdbETGnvYU?enquiry_position=488&enquiry_source=Search,"$830,000",3,2,110.92,2002,2020-07-18 17:01:43.228176
107B Edgefield Plains,https://www.99.co/singapore/sale/property/107b-edgefield-plains-hdb-RWVbyAzMjNhSV5bVKKZvY3?enquiry_position=489&enquiry_source=Search,"$475,000",3,2,109.99,2003,2020-07-18 17:01:43.228176
311B Clementi Avenue 4,https://www.99.co/singapore/sale/property/311b-clementi-avenue-4-hdb-Xtd9pLXRVBc8D7BCuTD4AR?enquiry_position=490&enquiry_source=Search,"$760,000",3,2,81.01,2014,2020-07-18 17:01:43.228176
93 Dawson Road,https://www.99.co/singapore/sale/property/93-dawson-road-hdb-SZSktsN92gQ4ASzqUxYewk?enquiry_position=491&enquiry_source=Search,"$850,000",3,2,82.96,2016,2020-07-18 17:01:43.228176
9 Selegie Road,https://www.99.co/singapore/sale/property/9-selegie-road-hdb-Vj4BT5MSqL8AEoJ4QfrKKS?enquiry_position=492&enquiry_source=Search,"$368,888",2,1,57.97,1974,2020-07-18 17:01:43.228176
265C Punggol Way,https://www.99.co/singapore/sale/property/265c-punggol-way-hdb-CnZ5r9buCatjxzQt6TTZjV?enquiry_position=493&enquiry_source=Search,"$680,000",3,2,111.94,2015,2020-07-18 17:01:43.228176
260B Punggol Way,https://www.99.co/singapore/sale/property/260b-punggol-way-hdb-inxjqhNSvpEGoUxaJY2itJ?enquiry_position=494&enquiry_source=Search,"$488,000",2,2,92.99,,2020-07-18 17:01:43.228176
81B Lorong 4 Toa Payoh,https://www.99.co/singapore/sale/property/81b-lorong-4-toa-payoh-hdb-MyTHQCgyKQayRntzJJkb4W?enquiry_position=495&enquiry_source=Search,"$799,000",4,2,120.95,1997,2020-07-18 17:01:43.228176
469A Sengkang West Way,https://www.99.co/singapore/sale/property/469a-sengkang-west-way-hdb-8xpDo9m2V3oMK9DbUaKFFn?enquiry_position=496&enquiry_source=Search,"$599,000",3,2,112.97,,2020-07-18 17:01:43.228176
63 Kallang Bahru,https://www.99.co/singapore/sale/property/63-kallang-bahru-hdb-7oCobRFPMbWBgmAbukPdXh?enquiry_position=497&enquiry_source=Search,"$268,000",2,1,64.56,1974,2020-07-18 17:01:43.228176
472 Jurong West Street 41,https://www.99.co/singapore/sale/property/472-jurong-west-street-41-hdb-72ENvmgFWRybJbHNwubTEe?enquiry_position=498&enquiry_source=Search,"$635,000",3,2,151.06,1985,2020-07-18 17:01:43.228176
70A Telok Blangah Heights,https://www.99.co/singapore/sale/property/70a-telok-blangah-heights-hdb-ZbzbvUU7hbRcwEwZASXsA4?enquiry_position=499&enquiry_source=Search,"$900,000",3,3,93.08,,2020-07-18 17:01:43.228176
197A Boon Lay Drive,https://www.99.co/singapore/sale/property/197a-boon-lay-drive-hdb-iSDH6V8ygRkAmmWtPJqvrM?enquiry_position=500&enquiry_source=Search,"$360,000",2,2,66.98,2015,2020-07-18 17:01:43.228176
85 Telok Blangah Heights,https://www.99.co/singapore/sale/property/85-telok-blangah-heights-hdb-6cy6kRHPckXXX6AAPMgnh7?enquiry_position=501&enquiry_source=Search,"$850,000",3,2,110.09,2003,2020-07-18 17:01:43.228176
571 Ang Mo Kio Avenue 3,https://www.99.co/singapore/sale/property/571-ang-mo-kio-avenue-3-hdb-zcPqzqNtyWPPZjtW843nuC?enquiry_position=502&enquiry_source=Search,"$330,000",2,2,66.98,1979,2020-07-18 17:01:43.228176
73 Geylang Bahru,https://www.99.co/singapore/sale/property/73-geylang-bahru-hdb-rP7wLvBeBb3D6vsTzJXF35?enquiry_position=504&enquiry_source=Search,"$280,000",2,2,59.92,1974,2020-07-18 17:01:43.228176
86 Dawson Road,https://www.99.co/singapore/sale/property/86-dawson-road-hdb-jJxxpLeNMuPwDHpXNZbcTd?enquiry_position=505&enquiry_source=Search,"$918,000",3,2,82.96,,2020-07-18 17:01:43.228176
294A Compassvale Crescent,https://www.99.co/singapore/sale/property/294a-compassvale-crescent-hdb-yBcjoBpuHmTDDKxPp55DmS?enquiry_position=506&enquiry_source=Search,"$660,000",3,2,112.97,,2020-07-18 17:01:43.228176
498 Jurong West Street 41,https://www.99.co/singapore/sale/property/498-jurong-west-street-41-hdb-pPJ2QRnnVQPjoekTrV8uzm?enquiry_position=507&enquiry_source=Search,"$340,000",3,2,83.98,1986,2020-07-18 17:01:43.228176
452B Sengkang West Way,https://www.99.co/singapore/sale/property/452b-sengkang-west-way-hdb-M5VxDJgM6quV6ZUpPMZA9k?enquiry_position=508&enquiry_source=Search,"$480,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
9B Boon Tiong Road,https://www.99.co/singapore/sale/property/9b-boon-tiong-road-hdb-ApuaZUtxd2LWsL8LUUR4JE?enquiry_position=509&enquiry_source=Search,"$900,000",3,2,91.97,,2020-07-18 17:01:43.228176
426C Yishun Avenue 11,https://www.99.co/singapore/sale/property/426c-yishun-avenue-11-hdb-FUiqbx4htjgvhaLuDJsHPN?enquiry_position=510&enquiry_source=Search,"$400,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
69 Redhill Close,https://www.99.co/singapore/sale/property/69-redhill-close-hdb-3TLGTMU4C9asQecHU7UbBR?enquiry_position=512&enquiry_source=Search,"$880,000",3,2,115.01,2001,2020-07-18 17:01:43.228176
709 Tampines Street 71,https://www.99.co/singapore/sale/property/709-tampines-street-71-hdb-pio4WTJZpv4Mf2SogX3km6?enquiry_position=513&enquiry_source=Search,"$560,000",3,2,118.91,1997,2020-07-18 17:01:43.228176
206B Compassvale Lane,https://www.99.co/singapore/sale/property/206b-compassvale-lane-hdb-tmumshCvzptR6zTPgwS8z7?enquiry_position=514&enquiry_source=Search,"$500,000",3,2,121.98,1999,2020-07-18 17:01:43.228176
250 Bishan Street 22,https://www.99.co/singapore/sale/property/250-bishan-street-22-hdb-wTKWiFwPRgDrT8BNMsXkqU?enquiry_position=515&enquiry_source=Search,"$630,000",3,2,104.98,1992,2020-07-18 17:01:43.228176
259A Compassvale Road,https://www.99.co/singapore/sale/property/259a-compassvale-road-hdb-h6bP2Nq7LqrBLX74o8Mq67?enquiry_position=516&enquiry_source=Search,"$490,000",3,2,109.99,2001,2020-07-18 17:01:43.228176
276 Bangkit Road,https://www.99.co/singapore/sale/property/276-bangkit-road-hdb-iUvRUvfpj2jkWC3TJaxG7B?enquiry_position=517&enquiry_source=Search,"$490,000",3,3,121.98,1988,2020-07-18 17:01:43.228176
826 Tampines Street 81,https://www.99.co/singapore/sale/property/826-tampines-street-81-hdb-NmfnEyJkjkWKewmqF3jxuZ?enquiry_position=518&enquiry_source=Search,"$328,000",2,2,66.98,1987,2020-07-18 17:01:43.228176
256B Sumang Walk,https://www.99.co/singapore/sale/property/256b-sumang-walk-hdb-QHv8JandYoe5EsQWA8bMM9?enquiry_position=519&enquiry_source=Search,"$495,000",3,2,92.99,,2020-07-18 17:01:43.228176
310B Punggol Walk,https://www.99.co/singapore/sale/property/310b-punggol-walk-hdb-i7wJx7ApZN3e3is82ZcvXA?enquiry_position=520&enquiry_source=Search,"$558,000",3,2,91.97,,2020-07-18 17:01:43.228176
92 Dawson Road,https://www.99.co/singapore/sale/property/92-dawson-road-hdb-ANz5EUuGPGmFcuRrHC7xSm?enquiry_position=521&enquiry_source=Search,"$900,000",3,2,96.99,2016,2020-07-18 17:01:43.228176
484 Pasir Ris Drive 4,https://www.99.co/singapore/sale/property/484-pasir-ris-drive-4-hdb-itysiFh7mmMCxA7ixvxxvg?enquiry_position=522&enquiry_source=Search,"$415,000",3,2,103.95,1992,2020-07-18 17:01:43.228176
454 Tampines Street 42,https://www.99.co/singapore/sale/property/454-tampines-street-42-hdb-3S6cGoSaPuexTtDaxZngPZ?enquiry_position=523&enquiry_source=Search,"$770,000",5,2,12.26,1987,2020-07-18 17:01:43.228176
663D Jurong West Street 65,https://www.99.co/singapore/sale/property/663d-jurong-west-street-65-hdb-Gv2dUADPrtW5ccfokQRr94?enquiry_position=524&enquiry_source=Search,"$425,000",3,2,90.85,2000,2020-07-18 17:01:43.228176
314A Punggol Way,https://www.99.co/singapore/sale/property/314a-punggol-way-hdb-fTEgFmuysd5mZgNLMHDzfn?enquiry_position=525&enquiry_source=Search,"$665,000",3,2,112.97,,2020-07-18 17:01:43.228176
442C Fajar Road,https://www.99.co/singapore/sale/property/442c-fajar-road-hdb-7tdz5vFxngszzCKSnjPgaS?enquiry_position=526&enquiry_source=Search,"$480,000",3,2,92.99,,2020-07-18 17:01:43.228176
258C Punggol Field,https://www.99.co/singapore/sale/property/258c-punggol-field-hdb-KcANjxkyjGpxCesdiouZmi?enquiry_position=527&enquiry_source=Search,"$610,000",3,5,112.97,,2020-07-18 17:01:43.228176
9A Boon Tiong Road,https://www.99.co/singapore/sale/property/9a-boon-tiong-road-hdb-9cAVP6QWgXYSEra28m3Qa9?enquiry_position=528&enquiry_source=Search,"$980,000",3,2,91.97,,2020-07-18 17:01:43.228176
258A Punggol Field,https://www.99.co/singapore/sale/property/258a-punggol-field-hdb-NHauuPQuk6YczEg9FXNcRP?enquiry_position=529&enquiry_source=Search,"$630,000",3,2,112.97,,2020-07-18 17:01:43.228176
10 Pine Close,https://www.99.co/singapore/sale/property/10-pine-close-hdb-jaMdGpRXekcJKzEiyMikQd?enquiry_position=530&enquiry_source=Search,"$399,000",2,2,68.00,1981,2020-07-18 17:01:43.228176
245 Simei Street 5,https://www.99.co/singapore/sale/property/245-simei-street-5-hdb-t8cJ3eGJWTcZ9MWphrEnMe?enquiry_position=531&enquiry_source=Search,"$505,000",3,2,104.98,1997,2020-07-18 17:01:43.228176
311C Clementi Avenue 4,https://www.99.co/singapore/sale/property/311c-clementi-avenue-4-hdb-JgKVwe5yzH2z5AfpuETBm?enquiry_position=532&enquiry_source=Search,"$738,888",3,2,82.03,2015,2020-07-18 17:01:43.228176
55 Marine Terrace,https://www.99.co/singapore/sale/property/55-marine-terrace-hdb-VfgwAxLhMVVrdf739MjfJQ?enquiry_position=533&enquiry_source=Search,"$560,000",4,2,87.97,1975,2020-07-18 17:01:43.228176
305B Anchorvale Link,https://www.99.co/singapore/sale/property/305b-anchorvale-link-hdb-QopUchAz3qC77uvLGAWcaW?enquiry_position=534&enquiry_source=Search,"$430,000",3,2,109.99,2001,2020-07-18 17:01:43.228176
633B Senja Road,https://www.99.co/singapore/sale/property/633b-senja-road-hdb-ZtNdm9fZFtUbXKnRY73h9G?enquiry_position=535&enquiry_source=Search,"$468,000",2,1,92.99,2013,2020-07-18 17:01:43.228176
90 Dawson Road,https://www.99.co/singapore/sale/property/90-dawson-road-hdb-DComEaie4M2Z74jZNvt4vY?enquiry_position=537&enquiry_source=Search,"$1,200,000",3,2,82.96,2016,2020-07-18 17:01:43.228176
624B Punggol Central,https://www.99.co/singapore/sale/property/624b-punggol-central-hdb-nMhwXfusDSauGVu9M2Qp2C?enquiry_position=538&enquiry_source=Search,"$485,000",3,2,94.94,2014,2020-07-18 17:01:43.228176
63 Chai Chee Road,https://www.99.co/singapore/sale/property/63-chai-chee-road-hdb-cotFkMYBGvGdRJeuD9NcuL?enquiry_position=539&enquiry_source=Search,"$560,000",3,2,132.94,1984,2020-07-18 17:01:43.228176
88 Telok Blangah Heights,https://www.99.co/singapore/sale/property/88-telok-blangah-heights-hdb-ECaWTY6JbMCG3p6TeLzSqA?enquiry_position=540&enquiry_source=Search,"$828,000",3,2,109.99,2003,2020-07-18 17:01:43.228176
264A Punggol Way,https://www.99.co/singapore/sale/property/264a-punggol-way-hdb-9TrJr4GRJ7eprPnm5NKoDh?enquiry_position=541&enquiry_source=Search,"$599,888",3,2,111.94,2015,2020-07-18 17:01:43.228176
260 Tampines Street 21,https://www.99.co/singapore/sale/property/260-tampines-street-21-hdb-Tec82Gd43DCqcFAWSyCyUj?enquiry_position=542&enquiry_source=Search,"$520,000",3,1,133.03,1984,2020-07-18 17:01:43.228176
627 Senja Road,https://www.99.co/singapore/sale/property/627-senja-road-hdb-4VrNanDWVjhWewrLEPMtYh?enquiry_position=543&enquiry_source=Search,"$528,000",2,1,109.99,2004,2020-07-18 17:01:43.228176
73 Lorong 4 Toa Payoh,https://www.99.co/singapore/sale/property/73-lorong-4-toa-payoh-hdb-cn3wazfKj2P2TCEhfL9ouL?enquiry_position=544&enquiry_source=Search,"$270,000",2,1,61.96,1973,2020-07-18 17:01:43.228176
105 Woodlands Street 13,https://www.99.co/singapore/sale/property/105-woodlands-street-13-hdb-z3GyQpXCGpac25ZbMe7wk8?enquiry_position=545&enquiry_source=Search,"$318,000",3,2,91.97,1985,2020-07-18 17:01:43.228176
490C Choa Chu Kang Avenue 5,https://www.99.co/singapore/sale/property/490c-choa-chu-kang-avenue-5-hdb-ziQFc3WXYjiZYT5tATHT5V?enquiry_position=546&enquiry_source=Search,"$418,000",3,2,92.99,,2020-07-18 17:01:43.228176
348A Yishun Avenue 11,https://www.99.co/singapore/sale/property/348a-yishun-avenue-11-hdb-XV6RsCpRcdgFQRDDHuX3te?enquiry_position=547&enquiry_source=Search,"$575,000",3,2,91.97,2013,2020-07-18 17:01:43.228176
27 Dover Crescent,https://www.99.co/singapore/sale/property/27-dover-crescent-hdb-w6dcnhGdCaN8RRmgDrEigB?enquiry_position=548&enquiry_source=Search,"$628,000",3,2,132.94,1976,2020-07-18 17:01:43.228176
264 Waterloo Street,https://www.99.co/singapore/sale/property/264-waterloo-street-hdb-XEcTcpmqRMHjoVDhkBKea7?enquiry_position=549&enquiry_source=Search,"$435,000",2,2,60.01,1986,2020-07-18 17:01:43.228176
888 Tampines Street 81,https://www.99.co/singapore/sale/property/888-tampines-street-81-hdb-MyUUWHh7rkHBzHui9RD9mc?enquiry_position=550&enquiry_source=Search,"$520,000",3,2,"1,312.99",1988,2020-07-18 17:01:43.228176
268 Tampines Street 21,https://www.99.co/singapore/sale/property/268-tampines-street-21-hdb-kMsrpGRqdqDNAk7KDTPGk4?enquiry_position=551&enquiry_source=Search,"$610,000",3,2,106.00,1984,2020-07-18 17:01:43.228176
615A Edgefield Plains,https://www.99.co/singapore/sale/property/615a-edgefield-plains-hdb-adkwQBN2X6uWgtio38M6uJ?enquiry_position=552&enquiry_source=Search,"$415,000",3,2,91.97,2012,2020-07-18 17:01:43.228176
475D Upper Serangoon Crescent,https://www.99.co/singapore/sale/property/475d-upper-serangoon-crescent-hdb-CcrMbjYxtCuAws8vEztvMb?enquiry_position=553&enquiry_source=Search,"$649,000",3,2,91.97,,2020-07-18 17:01:43.228176
308B Punggol Walk,https://www.99.co/singapore/sale/property/308b-punggol-walk-hdb-QgQBH3KRCTBcdpZBa5seTg?enquiry_position=554&enquiry_source=Search,"$700,000",2,1,112.04,,2020-07-18 17:01:43.228176
6 Lorong 7 Toa Payoh,https://www.99.co/singapore/sale/property/6-lorong-7-toa-payoh-hdb-86RFTWRm9bPMw9QcPLMZfb?enquiry_position=555&enquiry_source=Search,"$750,000",3,2,120.03,1998,2020-07-18 17:01:43.228176
505D Yishun Street 51,https://www.99.co/singapore/sale/property/505d-yishun-street-51-hdb-puEnvapKbsSPWbGLYjNBjj?enquiry_position=556&enquiry_source=Search,"$560,000",3,2,112.04,,2020-07-18 17:01:43.228176
689A Woodlands Drive 75,https://www.99.co/singapore/sale/property/689a-woodlands-drive-75-hdb-d8H2h53SjR2phHsEJqETG9?enquiry_position=557&enquiry_source=Search,"$450,000",3,2,109.99,2004,2020-07-18 17:01:43.228176
146 Lorong 2 Toa Payoh,https://www.99.co/singapore/sale/property/146-lorong-2-toa-payoh-hdb-fMNrVVf2M8Y2R3yc8FZpfG?enquiry_position=559&enquiry_source=Search,"$769,999",3,2,91.04,2006,2020-07-18 17:01:43.228176
90 Tanglin Halt Road,https://www.99.co/singapore/sale/property/90-tanglin-halt-road-hdb-hQtJHZ4w3CCQn9AgDvMGEW?enquiry_position=560&enquiry_source=Search,"$925,000",3,2,109.99,2008,2020-07-18 17:01:43.228176
636B Senja Road,https://www.99.co/singapore/sale/property/636b-senja-road-hdb-4Jj5VzSvczYeBMseThqKGc?enquiry_position=561&enquiry_source=Search,"$450,000",3,2,91.97,,2020-07-18 17:01:43.228176
469A Sengkang West Way,https://www.99.co/singapore/sale/property/469a-sengkang-west-way-hdb-cFiuz4qyQmNTPqW3mmXsNU?enquiry_position=562&enquiry_source=Search,"$400,000",3,2,92.99,,2020-07-18 17:01:43.228176
740 Tampines Street 72,https://www.99.co/singapore/sale/property/740-tampines-street-72-hdb-ZBmsUVWcfymmcFVPX9PZDV?enquiry_position=563&enquiry_source=Search,"$580,000",3,2,141.02,1997,2020-07-18 17:01:43.228176
178 Ang Mo Kio Avenue 4,https://www.99.co/singapore/sale/property/178-ang-mo-kio-avenue-4-hdb-RxHdDvgSK6qLFoSkGdXDxP?enquiry_position=564&enquiry_source=Search,"$278,000",2,2,67.91,1981,2020-07-18 17:01:43.228176
269 Tampines Street 21,https://www.99.co/singapore/sale/property/269-tampines-street-21-hdb-seFiWRF7t7U3xLXKQ2kHdg?enquiry_position=565&enquiry_source=Search,"$340,000",2,2,74.97,1984,2020-07-18 17:01:43.228176
472B Fernvale Street,https://www.99.co/singapore/sale/property/472b-fernvale-street-hdb-ecdFe7zyjtWEvGqHXoD4mj?enquiry_position=566&enquiry_source=Search,"$460,000",3,2,92.99,,2020-07-18 17:01:43.228176
617 Ang Mo Kio Avenue 4,https://www.99.co/singapore/sale/property/617-ang-mo-kio-avenue-4-hdb-36VHkmJdTUE4rgZ8FqsXz3?enquiry_position=567&enquiry_source=Search,"$780,000",3,2,133.03,1996,2020-07-18 17:01:43.228176
588D Ang Mo Kio Street 52,https://www.99.co/singapore/sale/property/588d-ang-mo-kio-street-52-hdb-EMRpdVrnzwWVdGrjC27t4S?enquiry_position=568&enquiry_source=Search,"$870,000",3,2,112.04,,2020-07-18 17:01:43.228176
97 Whampoa Drive,https://www.99.co/singapore/sale/property/97-whampoa-drive-hdb-Wsm3AdzyjXd8L3t9hf28Tf?enquiry_position=569&enquiry_source=Search,"$290,000",2,1,65.96,1980,2020-07-18 17:01:43.228176
183 Bedok North Road,https://www.99.co/singapore/sale/property/183-bedok-north-road-hdb-sRdcx4BmxCrab5Vb8fVHu9?enquiry_position=570&enquiry_source=Search,"$630,000",3,2,84.91,2005,2020-07-18 17:01:43.228176
530C Pasir Ris Drive 1,https://www.99.co/singapore/sale/property/530c-pasir-ris-drive-1-hdb-aKWNwWQyCYuc9Dfi85LQ8F?enquiry_position=571&enquiry_source=Search,"$550,000",2,2,65.03,2015,2020-07-18 17:01:43.228176
256 Kim Keat Avenue,https://www.99.co/singapore/sale/property/256-kim-keat-avenue-hdb-pffoWdmUqSsbQcyBGSUc2f?enquiry_position=572&enquiry_source=Search,"$610,000",4,2,121.98,1988,2020-07-18 17:01:43.228176
540 Ang Mo Kio Avenue 10,https://www.99.co/singapore/sale/property/540-ang-mo-kio-avenue-10-hdb-GenH9eRkM7fbLw2Xi4JuYe?enquiry_position=573&enquiry_source=Search,"$315,000",2,2,66.98,1981,2020-07-18 17:01:43.228176
111 Rivervale Walk,https://www.99.co/singapore/sale/property/111-rivervale-walk-hdb-3ygNTFbB4L8UnnVhsxZauW?enquiry_position=574&enquiry_source=Search,"$510,000",3,2,120.95,1998,2020-07-18 17:01:43.228176
620 Ang Mo Kio Avenue 9,https://www.99.co/singapore/sale/property/620-ang-mo-kio-avenue-9-hdb-Dbae5DR2DDCRUVNEKZFhJn?enquiry_position=575&enquiry_source=Search,"$480,000",3,2,99.96,1980,2020-07-18 17:01:43.228176
144 Serangoon North Avenue 1,https://www.99.co/singapore/sale/property/144-serangoon-north-avenue-1-hdb-MpNXyzYJyVn59Xg8W8dJfk?enquiry_position=576&enquiry_source=Search,"$365,000",3,2,83.98,1987,2020-07-18 17:01:43.228176
256C Sumang Walk,https://www.99.co/singapore/sale/property/256c-sumang-walk-hdb-w9gASapf63dpdHpmD23DHF?enquiry_position=577&enquiry_source=Search,"$528,000",3,2,92.99,,2020-07-18 17:01:43.228176
44 Sims Drive,https://www.99.co/singapore/sale/property/44-sims-drive-hdb-ixRQq7EfYhFpJAqKUBqys3?enquiry_position=578&enquiry_source=Search,"$420,000",3,1,87.97,1975,2020-07-18 17:01:43.228176
96 Geylang Bahru,https://www.99.co/singapore/sale/property/96-geylang-bahru-hdb-mgnxe2s6VXUiRQgQsd3owc?enquiry_position=579&enquiry_source=Search,"$370,000",2,2,67.91,1979,2020-07-18 17:01:43.228176
705 Hougang Avenue 2,https://www.99.co/singapore/sale/property/705-hougang-avenue-2-hdb-pshBnNsbUU6n5RQsNFHrBa?enquiry_position=580&enquiry_source=Search,"$658,000",4,2,153.94,1986,2020-07-18 17:01:43.228176
249 Tampines Street 21,https://www.99.co/singapore/sale/property/249-tampines-street-21-hdb-WCQnAEDuWDa5HA6BUSqS8o?enquiry_position=581&enquiry_source=Search,"$520,000",3,2,103.02,1984,2020-07-18 17:01:43.228176
157 Bedok South Avenue 3,https://www.99.co/singapore/sale/property/157-bedok-south-avenue-3-hdb-mXRCGUPbA2RAJQXrGGnM9U?enquiry_position=582&enquiry_source=Search,"$350,000",3,2,83.98,1985,2020-07-18 17:01:43.228176
324D Sengkang East Way,https://www.99.co/singapore/sale/property/324d-sengkang-east-way-hdb-yzqm2qoLTNtNCooYD8pMce?enquiry_position=583&enquiry_source=Search,"$410,000",3,2,89.93,2003,2020-07-18 17:01:43.228176
313D Anchorvale Road,https://www.99.co/singapore/sale/property/313d-anchorvale-road-hdb-7ZWw4VJoMxy5t5oJZohtyg?enquiry_position=584&enquiry_source=Search,"$580,000",4,2,124.95,2003,2020-07-18 17:01:43.228176
308C Punggol Walk,https://www.99.co/singapore/sale/property/308c-punggol-walk-hdb-ydCsy9BZATVf3N77WwFGCf?enquiry_position=585&enquiry_source=Search,"$557,688",3,2,91.97,,2020-07-18 17:01:43.228176
88 Dawson Road,https://www.99.co/singapore/sale/property/88-dawson-road-hdb-6idivAh8G2uFPtDeu5brH3?enquiry_position=586&enquiry_source=Search,"$880,000",3,2,86.95,,2020-07-18 17:01:43.228176
490D Choa Chu Kang Avenue 5,https://www.99.co/singapore/sale/property/490d-choa-chu-kang-avenue-5-hdb-rEb4oVGYDaTeKhr4ULVCug?enquiry_position=587&enquiry_source=Search,"$450,000",3,2,92.99,,2020-07-18 17:01:43.228176
456 Tampines Street 42,https://www.99.co/singapore/sale/property/456-tampines-street-42-hdb-zyqzKorrvn7XavWVYXdws4?enquiry_position=588&enquiry_source=Search,"$400,000",3,2,83.98,1987,2020-07-18 17:01:43.228176
547D Segar Road,https://www.99.co/singapore/sale/property/547d-segar-road-hdb-JXjVMQhWDdnqNoM2JzxCnF?enquiry_position=589&enquiry_source=Search,"$355,000",2,2,66.98,2015,2020-07-18 17:01:43.228176
196A Punggol Field,https://www.99.co/singapore/sale/property/196a-punggol-field-hdb-iNZbCePg5DRTGihiS9MEvA?enquiry_position=590&enquiry_source=Search,"$428,000",3,2,109.99,2003,2020-07-18 17:01:43.228176
24 Sin Ming Road,https://www.99.co/singapore/sale/property/24-sin-ming-road-hdb-y8TAT9pquCRPUbq8kfCFsH?enquiry_position=591&enquiry_source=Search,"$268,000",2,1,64.93,1973,2020-07-18 17:01:43.228176
34 Whampoa West,https://www.99.co/singapore/sale/property/34-whampoa-west-hdb-ug7Jk4Jnu4P6Yj5RK56LdM?enquiry_position=592&enquiry_source=Search,"$315,000",2,1,67.91,1972,2020-07-18 17:01:43.228176
700B Ang Mo Kio Avenue 6,https://www.99.co/singapore/sale/property/700b-ang-mo-kio-avenue-6-hdb-iPFpqFpLR2dVozoSZexzFe?enquiry_position=593&enquiry_source=Search,"$650,000",3,2,90.02,2003,2020-07-18 17:01:43.228176
672B Klang Lane,https://www.99.co/singapore/sale/property/672b-klang-lane-hdb-N73uCHdt7qsLotYLUktAcN?enquiry_position=594&enquiry_source=Search,"$645,000",3,2,104.98,2002,2020-07-18 17:01:43.228176
125 Kim Tian Road,https://www.99.co/singapore/sale/property/125-kim-tian-road-hdb-pseM4czz2s7YamPbu4LgFW?enquiry_position=595&enquiry_source=Search,"$860,000",4,2,125.97,1995,2020-07-18 17:01:43.228176
348B Yishun Avenue 11,https://www.99.co/singapore/sale/property/348b-yishun-avenue-11-hdb-6qV5bPBwf9Y8cREWXFphk5?enquiry_position=596&enquiry_source=Search,"$798,000",4,2,111.94,2013,2020-07-18 17:01:43.228176
57 Stirling Road,https://www.99.co/singapore/sale/property/57-stirling-road-hdb-Hr4JoZX6QcsGUdNEcXJTER?enquiry_position=597&enquiry_source=Search,"$950,000",2,2,86.95,1968,2020-07-18 17:01:43.228176
604 Clementi West Street 1,https://www.99.co/singapore/sale/property/604-clementi-west-street-1-hdb-uxQx6fRNczLFWzYwWkiigE?enquiry_position=598&enquiry_source=Search,"$655,000",3,2,119.00,1979,2020-07-18 17:01:43.228176
81 Lorong 4 Toa Payoh,https://www.99.co/singapore/sale/property/81-lorong-4-toa-payoh-hdb-FAnA49Z7uYmtf9PqvBP394?enquiry_position=599&enquiry_source=Search,"$888,000",4,2,121.98,1997,2020-07-18 17:01:43.228176
403 Bedok North Avenue 3,https://www.99.co/singapore/sale/property/403-bedok-north-avenue-3-hdb-GnDvTKYuPtfFxue6W5p2oR?enquiry_position=600&enquiry_source=Search,"$438,000",3,2,91.97,1980,2020-07-18 17:01:43.228176
415A Fernvale Link,https://www.99.co/singapore/sale/property/415a-fernvale-link-hdb-c56CuAEt6rHfw9KWzT3neD?enquiry_position=601&enquiry_source=Search,"$570,000",3,2,112.97,,2020-07-18 17:01:43.228176
55 Marine Terrace,https://www.99.co/singapore/sale/property/55-marine-terrace-hdb-GUhxWhhTHvGygTVLDZWfBd?enquiry_position=602&enquiry_source=Search,"$540,000",3,1,87.97,1975,2020-07-18 17:01:43.228176
89 Dawson Road,https://www.99.co/singapore/sale/property/89-dawson-road-hdb-po2xQaPbtLApAX4B7nKGV7?enquiry_position=604&enquiry_source=Search,"$838,000",3,2,82.96,2016,2020-07-18 17:01:43.228176
690 Jurong West Central 1,https://www.99.co/singapore/sale/property/690-jurong-west-central-1-hdb-6CMeG4mxeqG4y4vcR9KyCn?enquiry_position=605&enquiry_source=Search,"$530,000",3,2,118.91,1998,2020-07-18 17:01:43.228176
514 Bukit Batok Street 52,https://www.99.co/singapore/sale/property/514-bukit-batok-street-52-hdb-Qc3sHNiFXXLUsU9yjAw6iE?enquiry_position=606&enquiry_source=Search,"$450,000",3,2,119.93,1986,2020-07-18 17:01:43.228176
331 Jurong East Avenue 1,https://www.99.co/singapore/sale/property/331-jurong-east-avenue-1-hdb-WxtCdr2kjLCtAHJiFtoP59?enquiry_position=607&enquiry_source=Search,"$540,000",3,2,130.99,1985,2020-07-18 17:01:43.228176
115 Bukit Merah Central,https://www.99.co/singapore/sale/property/115-bukit-merah-central-hdb-JoVYG54hLHSeUG2sj6T2mh?enquiry_position=608&enquiry_source=Search,"$630,000",3,2,119.93,1977,2020-07-18 17:01:43.228176
138B Yuan Ching Road,https://www.99.co/singapore/sale/property/138b-yuan-ching-road-hdb-ovEmDWVXUS6cTtmAzVb3vN?enquiry_position=609&enquiry_source=Search,"$628,000",3,2,90.95,,2020-07-18 17:01:43.228176
308B Punggol Walk,https://www.99.co/singapore/sale/property/308b-punggol-walk-hdb-MBMKEJcn9UngpSkAHi4LJB?enquiry_position=610&enquiry_source=Search,"$588,888",3,2,91.97,,2020-07-18 17:01:43.228176
