address,link,price,bedrooms,bathrooms,floor_area,year_built,date_scraped
611 Hougang Avenue 8,https://www.99.co/singapore/sale/property/611-hougang-avenue-8-hdb-crUycrcSunmvfsErCoKe3n?enquiry_position=28&enquiry_source=Search,"$400,000",3,2,83.98,1986,2020-07-18 17:01:43.228176
310B Punggol Walk,https://www.99.co/singapore/sale/property/310b-punggol-walk-hdb-xW4zmVy6cXgvVAA5BVPWBR?enquiry_position=29&enquiry_source=Search,"$680,000",3,2,112.04,,2020-07-18 17:01:43.228176
216 Bukit Batok Street 21,https://www.99.co/singapore/sale/property/216-bukit-batok-street-21-hdb-hQbE9v6HBcjoH7UonQdYKQ?enquiry_position=30&enquiry_source=Search,"$470,000",3,2,120.95,1985,2020-07-18 17:01:43.228176
232 Bain Street,https://www.99.co/singapore/sale/property/232-bain-street-hdb-8AXCWHVJEPtuWjSkzBiRK5?enquiry_position=31&enquiry_source=Search,"$680,000",3,1,82.03,1980,2020-07-18 17:01:43.228176
16 Upper Boon Keng Road,https://www.99.co/singapore/sale/property/16-upper-boon-keng-road-hdb-UFSgxvEPvB76od4k4HNash?enquiry_position=32&enquiry_source=Search,"$2,200,000",4,4,121.98,1975,2020-07-18 17:01:43.228176
196 Rivervale Drive,https://www.99.co/singapore/sale/property/196-rivervale-drive-hdb-GKpuJmmqtMB9fV3T4jvS6d?enquiry_position=33&enquiry_source=Search,"$438,000",3,2,111.01,2001,2020-07-18 17:01:43.228176
471A Upper Serangoon Crescent,https://www.99.co/singapore/sale/property/471a-upper-serangoon-crescent-hdb-iNvuL5fNDCicPRtMZQHDhU?enquiry_position=34&enquiry_source=Search,"$465,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
428 Pasir Ris Drive 6,https://www.99.co/singapore/sale/property/428-pasir-ris-drive-6-hdb-QY7EXQEfowi6VhDWmTQ3i?enquiry_position=35&enquiry_source=Search,"$440,000",3,2,103.95,1990,2020-07-18 17:01:43.228176
669D Jurong West Street 64,https://www.99.co/singapore/sale/property/669d-jurong-west-street-64-hdb-DwD4nKq6iYWyxirvb4Wykf?enquiry_position=36&enquiry_source=Search,"$550,000",3,2,129.97,2000,2020-07-18 17:01:43.228176
511 Bukit Batok Street 52,https://www.99.co/singapore/sale/property/511-bukit-batok-street-52-hdb-PWX3psxt8jvcZDttNW6aLY?enquiry_position=37&enquiry_source=Search,"$484,888",3,2,121.98,1986,2020-07-18 17:01:43.228176
511 Bukit Batok Street 52,https://www.99.co/singapore/sale/property/511-bukit-batok-street-52-hdb-kJPhpu83VBwauHxXdnB3vN?enquiry_position=38&enquiry_source=Search,"$482,000",3,2,121.98,1986,2020-07-18 17:01:43.228176
410 Commonwealth Avenue West,https://www.99.co/singapore/sale/property/410-commonwealth-avenue-west-hdb-w83xNfxzcjBZui9tZjBbr?enquiry_position=39&enquiry_source=Search,"$450,000",3,2,96.99,1978,2020-07-18 17:01:43.228176
563 Ang Mo Kio Avenue 3,https://www.99.co/singapore/sale/property/563-ang-mo-kio-avenue-3-hdb-vPkyvavPCvTg5xfYFcWieU?enquiry_position=40&enquiry_source=Search,"$410,000",3,2,91.97,1980,2020-07-18 17:01:43.228176
725 Ang Mo Kio Avenue 6,https://www.99.co/singapore/sale/property/725-ang-mo-kio-avenue-6-hdb-4C7aB5shFDupWrZnaHwugP?enquiry_position=41&enquiry_source=Search,"$675,000",3,2,119.00,1980,2020-07-18 17:01:43.228176
428 Clementi Avenue 3,https://www.99.co/singapore/sale/property/428-clementi-avenue-3-hdb-SwioUupwh5ydUXqUcxeETi?enquiry_position=42&enquiry_source=Search,"$389,000",2,2,66.98,1978,2020-07-18 17:01:43.228176
680A Jurong West Central 1,https://www.99.co/singapore/sale/property/680a-jurong-west-central-1-hdb-wgNGnBJti4tBMM7Kbrjcxg?enquiry_position=43&enquiry_source=Search,"$668,000",4,2,133.87,2000,2020-07-18 17:01:43.228176
242 Bishan Street 22,https://www.99.co/singapore/sale/property/242-bishan-street-22-hdb-2RSDDJYWa2dB6Bxoez4qdd?enquiry_position=44&enquiry_source=Search,"$899,000",4,2,120.95,1992,2020-07-18 17:01:43.228176
60 Dakota Crescent,https://www.99.co/singapore/sale/property/60-dakota-crescent-hdb-eD6XzBvTAhGwu9Cs8Va9AD?enquiry_position=45&enquiry_source=Search,"$998,000",3,2,139.91,1983,2020-07-18 17:01:43.228176
