No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,price,link
3.0,2,11.42,72,1.425010743,103.8464282,0.33111080669614495,0.4837259558700661,1.867321054221997,4.6135744891105785,1.3566912398172801,0.11076046825178648,460000.0,https://www.99.co/singapore/sale/property/413-yishun-ring-road-hdb-ALQYgv4sMBBZP6aAR4pQLm?enquiry_position=23&enquiry_source=Search
3.0,2,89.93,82,1.3909484230000002,103.9086124,0.5221168808816112,0.7773772551073761,3.584047140638377,5.284614388914306,0.2989812945673373,0.30566495049867537,375000.0,https://www.99.co/singapore/sale/property/183c-rivervale-crescent-hdb-DcJcWwPCZS3g9L8HB7cJaa?enquiry_position=24&enquiry_source=Search
2.0,2,69.95,66,1.376063642,103.8879392,0.328171505953774,0.2562729168279476,3.7280456069227155,4.124815302026622,0.7247295560120133,0.24755162374052264,320000.0,https://www.99.co/singapore/sale/property/694-hougang-street-61-hdb-Nk5SonDXW2TU7udeFTwcBg?enquiry_position=25&enquiry_source=Search
4.0,3,150.87,66,1.418657574,103.8398421,0.2887272151007832,0.28061023812034697,1.3141273336283106,4.042622528017965,0.7630944903765289,0.4582770114228718,750000.0,https://www.99.co/singapore/sale/property/633-yishun-street-61-hdb-J7tpKuoHxyx6YS2HjDTGQT?enquiry_position=27&enquiry_source=Search
3.0,2,83.98,65,1.369971817,103.8847454,0.24843122974652143,0.3517280276887486,2.9844961117005124,3.860993348647679,0.8365157950296697,0.38291731629741954,400000.0,https://www.99.co/singapore/sale/property/611-hougang-avenue-8-hdb-crUycrcSunmvfsErCoKe3n?enquiry_position=28&enquiry_source=Search
3.0,2,120.95,64,1.347105007,103.7536386,0.1290780797231407,0.21562567777452024,4.170436578502505,2.5521443249439324,0.5000152252241891,0.4186277170477006,470000.0,https://www.99.co/singapore/sale/property/216-bukit-batok-street-21-hdb-hQbE9v6HBcjoH7UonQdYKQ?enquiry_position=30&enquiry_source=Search
3.0,1,82.03,59,1.296853111,103.8533475,0.9219509249568217,2.1511538344277943,3.6926944399041615,7.98378208783743,0.2726755358129945,0.37457242933739016,680000.0,https://www.99.co/singapore/sale/property/232-bain-street-hdb-8AXCWHVJEPtuWjSkzBiRK5?enquiry_position=31&enquiry_source=Search
4.0,4,121.98,54,1.315431758,103.8716516,1.0287560496265242,1.5657988255313244,2.133055090808426,7.262907494280879,0.4394137196056426,0.22157709114666604,2200000.0,https://www.99.co/singapore/sale/property/16-upper-boon-keng-road-hdb-UFSgxvEPvB76od4k4HNash?enquiry_position=32&enquiry_source=Search
3.0,2,111.01,80,1.392836795,103.9031463,0.19300756869966632,0.5232472237051119,4.222760700502571,5.751644151242002,0.3477738677610732,0.17455536011632758,438000.0,https://www.99.co/singapore/sale/property/196-rivervale-drive-hdb-GKpuJmmqtMB9fV3T4jvS6d?enquiry_position=33&enquiry_source=Search
3.0,2,91.97,94,1.37814544,103.9017673,0.7797149546052581,0.28844557002802307,3.9811266345263867,4.509794105558905,0.6484534997499048,0.11287059374331648,465000.0,https://www.99.co/singapore/sale/property/471a-upper-serangoon-crescent-hdb-iNvuL5fNDCicPRtMZQHDhU?enquiry_position=34&enquiry_source=Search
3.0,2,103.95,69,1.3693840519999998,103.9564921,0.3888977216927827,0.34998596357695083,2.258687111662157,3.6025241659700065,0.898601402081906,0.10103199990705183,440000.0,https://www.99.co/singapore/sale/property/428-pasir-ris-drive-6-hdb-QY7EXQEfowi6VhDWmTQ3i?enquiry_position=35&enquiry_source=Search
