No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,resale_price,random_forest,XGBoost,Clustering,difference_with_random_forest,difference_with_XGBoost,difference_with_Clustering
3.0,2.0,95.0,80.0,1.2944,103.8056,0.3109326529361033,0.8012697315584151,2.4673695625943797,2.9992404080511634,0.05231817924525417,0.10235147237453654,598888.0,583145.2500000001,595585.0,602250.0,15742.749999999884,3303.0,-3362.0
3.0,2.0,104.0,65.0,1.3455,103.7487,0.5457152467850651,0.3984929578474868,4.387508505682722,2.909501579400645,0.3639268184211478,0.15084359519653875,415000.0,421530.9063809524,406252.56,418250.0,-6530.906380952394,8747.4375,-3250.0
3.0,2.0,103.0,80.0,1.3859,103.7646,0.3573579270873166,0.26551077665254164,1.1944431602291914,5.726645103609535,0.0932840349176276,0.14124953141666965,338000.0,374031.65833333327,375456.0,364000.0,-36031.65833333327,-37456.0,-26000.0
3.0,2.0,85.0,82.0,1.3925,103.9126,0.43397198920568036,0.5436548506393332,3.2809439349262126,5.273530929629459,0.1567132681837216,0.08795016677822828,355000.0,359067.2404428571,349788.97,402500.0,-4067.240442857088,5211.03125,-47500.0
3.0,2.0,96.0,93.0,1.4058,103.9068,0.16546977021908715,0.4830504161571412,4.703921937813598,6.815652725402732,0.2101031656878533,0.23640095093309896,480000.0,488564.99333333323,506006.34,516250.0,-8564.99333333323,-26006.34375,-36250.0
3.0,2.0,105.0,69.0,1.3738,103.8935,0.5062359612865771,0.40187341220167844,3.9808705658339907,4.758339601303949,0.3053534430491833,0.16644546994293727,403000.0,433320.0,429615.47,440000.0,-30320.0,-26615.46875,-37000.0
3.0,2.0,137.0,80.0,1.3778,103.8787,0.2754494114709668,0.35477749633796846,3.3468821531599438,3.0941882181426155,1.459586081065783,0.1829909705342882,582000.0,612817.6807142857,587582.4,608750.0,-30817.6807142857,-5582.375,-26750.0
2.0,2.0,82.0,60.0,1.3773,103.8365,0.16054195189029735,0.5998547365439494,1.0504727621893402,1.2379643294216605,0.6490675668479563,0.13840057649904128,300000.0,311084.17666666664,304360.75,252750.0,-11084.176666666637,-4360.75,47250.0
2.0,2.0,68.0,75.0,1.43,103.7723,0.5157858564706831,0.5468257317775347,5.444520688400565,2.0287688474662184,0.34279030828478874,0.2901945096255554,260000.0,275032.11495238094,282132.84,260750.0,-15032.114952380944,-22132.84375,-750.0
3.0,2.0,92.0,60.0,1.3335,103.9177,0.35822498898831945,0.7884153595351246,2.598989790979601,1.9276292463718847,0.14154023219935963,0.09278262681537024,408000.0,392133.42166666663,405924.88,384125.0,15866.578333333367,2075.125,23875.0
3.0,2.0,90.0,88.0,1.4014,103.9061,0.19208096103873784,0.3452062832291178,4.4432721934101025,6.459684413842054,0.23601202217760553,0.24770480733716296,415000.0,403559.3452380952,415576.97,415000.0,11440.654761904792,-576.96875,0.0
3.0,2.0,91.0,84.0,1.287,103.8303,0.5388219251291907,0.7559886431842864,4.20900017387585,5.820974541620585,0.33268872384359677,0.4319214710750277,735000.0,673386.5833333335,660087.8,772250.0,61613.41666666651,74912.1875,-37250.0
3.0,2.0,91.0,53.0,1.3216,103.8557,1.0750245663641547,0.6747973099524093,1.5153018906392854,6.201366654171208,0.6969280985418974,0.15599617724582018,370000.0,362507.97619047627,370232.16,372750.0,7492.023809523729,-232.15625,-2750.0
3.0,2.0,104.0,68.0,1.421,103.8374,0.37867135169095617,0.2507905519052462,0.95241576083344,4.370746150558032,0.6135854992716748,0.12406848333510907,358000.0,348334.52380952373,361362.53,334250.0,9665.47619047627,-3362.53125,23750.0
2.0,2.0,68.0,61.0,1.3286,103.9245,0.8322429584092892,0.4384839461962623,1.6711830985592226,1.8589617301805528,0.79451572439893,0.3321729444112003,295000.0,282462.45436507947,287683.06,282500.0,12537.545634920534,7316.9375,12500.0
3.0,2.0,93.0,95.0,1.3887,103.9107,0.8094831481394417,0.9590958808627595,3.2678309794302414,4.960703327890112,0.5928412556190324,0.49484869816275157,368000.0,387968.7261904763,384916.5,388750.0,-19968.72619047633,-16916.5,-20750.0
3.0,2.0,99.0,79.0,1.346,103.7444,0.5187108888719163,0.34135701615978964,4.4220300714672724,3.359163130297195,0.6259048990927079,0.18002610445316136,465000.0,442424.45365079364,434595.62,465750.0,22575.546349206357,30404.375,-750.0
2.0,2.0,59.0,55.0,1.3456,103.7116,0.33726160423809265,0.31666780229808084,6.400027848322231,6.816830626629934,0.9815205008478697,0.24474759402597973,192000.0,191169.51785714275,203300.02,189750.0,830.4821428572468,-11300.015625,2250.0
3.0,2.0,121.0,78.0,1.3838,103.9017,0.46095137835150873,0.41868866201543603,4.062080582707133,5.000232758900221,0.0610226595361536,0.11289654833574775,455000.0,410295.94,436380.47,422500.0,44704.06,18619.53125,32500.0
3.0,2.0,105.0,73.0,1.3585,103.8464,0.8899042947775624,0.4436671480558665,0.791092944182811,2.089380657009475,0.579198120035995,0.11040223240006805,570000.0,564191.398809524,561454.2,562500.0,5808.60119047598,8545.8125,7500.0
3.0,2.0,104.0,72.0,1.3822,103.7422,0.4969988641365591,0.451995266074695,1.331481911520396,6.393202052815463,0.38505842000314194,0.13330265956068557,358000.0,331331.1066666667,345551.94,332500.0,26668.89333333331,12448.0625,25500.0
2.0,2.0,66.0,63.0,1.2787,103.8192,0.6923016940957184,1.0288144533569894,4.659192812080537,5.242538854943086,1.2025601835987743,0.2974823957313643,300000.0,312194.83333333326,304191.0,310500.0,-12194.833333333256,-4191.0,-10500.0
2.0,2.0,64.0,68.0,1.359,103.9511,0.3053050040589075,0.55804765592238,2.4818792982501248,2.3613475839007183,0.501896775122156,0.09025713856666223,350000.0,310364.4761904763,302878.6,307750.0,39635.52380952367,47121.40625,42250.0
3.0,2.0,115.0,94.0,1.2893,103.8289,0.5944239703004998,0.9645423809085779,3.979058488401016,5.577608371594314,0.3905998417257408,0.19870321592998882,970000.0,1019078.1633333333,965920.94,914500.0,-49078.16333333333,4079.0625,55500.0
3.0,2.0,109.0,65.0,1.3543,103.951,0.31741030711522006,0.26783711901522256,2.9088739510179282,2.0478730525836197,0.4554872534519813,0.003857559689949913,430000.0,430750.1291666667,454845.4,422500.0,-750.1291666667094,-24845.40625,7500.0
3.0,2.0,117.0,76.0,1.3785,103.889,0.3887949427773015,0.5061013954524447,4.012598202435258,4.24022764848635,0.6604730519693961,0.26127556466069224,470000.0,496280.5066666667,461551.4,482750.0,-26280.50666666671,8448.59375,-12750.0
3.0,2.0,102.0,76.0,1.3477,103.6965,0.21402225287709625,0.7630638575545414,7.589786276309013,8.50798600993673,1.1282294505810628,0.16337694301645495,320000.0,336454.4266666667,338837.97,333500.0,-16454.426666666695,-18837.96875,-13500.0
2.0,2.0,74.0,62.0,1.3594,103.8866,0.4312349535490334,0.509025298285575,2.453738394480505,4.459169264391556,0.16147286599724886,0.2917441514898098,343000.0,321861.68833333335,316660.6,286750.0,21138.311666666646,26339.40625,56250.0
3.0,2.0,122.0,79.0,1.3403,103.7437,0.4294792110205744,0.3841132004201373,5.05659702490955,3.208713764593324,0.7976504197958585,0.23692137795982748,640000.0,540777.7733333333,562546.7,600750.0,99222.22666666668,77453.3125,39250.0
3.0,2.0,84.0,68.0,1.42,103.8338,0.4842239657239111,0.3176362237916747,0.691518018340838,4.409141452509476,0.2803865889141521,0.27652139357473815,315000.0,322833.31714285706,324728.22,318250.0,-7833.317142857064,-9728.21875,-3250.0
3.0,2.0,130.0,81.0,1.3435,103.7028,0.44719812740070247,0.12576596328362427,7.294142753620315,7.736633290534653,0.6460785290434766,0.30026445444586775,540000.0,562528.5815555556,549573.0,550000.0,-22528.581555555575,-9573.0,-10000.0
3.0,2.0,137.0,74.0,1.4336,103.7778,0.33179448460632077,0.3159905338381584,5.847828553237556,1.3247246308401461,0.4305605021215443,0.4409222581408078,470000.0,454367.63000000006,441261.94,450972.0,15632.369999999937,28738.0625,19028.0
3.0,2.0,110.0,90.0,1.3365,103.6956,0.45414336634334224,0.7354807208371799,8.406306985967385,8.454568472033014,0.18956399219597742,0.026896407350781387,460000.0,485155.0000000002,494026.34,463250.0,-25155.000000000175,-34026.34375,-3250.0
3.0,2.0,119.0,75.0,1.4398,103.7967,0.4960175391494126,0.36184449854532996,4.031428587926901,1.196290402314589,0.48252706419371705,0.23363167028991966,430000.0,438120.0,420076.56,431000.0,-8120.0,9923.4375,-1000.0
3.0,2.0,93.0,93.0,1.4025,103.9076,0.24559325678133334,0.17392109166457753,4.392055905595179,6.510106222328275,0.32391571288476906,0.09382798287926192,400000.0,399277.5,419497.0,412500.0,722.5,-19497.0,-12500.0
3.0,2.0,92.0,92.0,1.3201,103.8669,0.29087138690296405,0.8283309494267598,1.4612268695274695,6.61807860984558,0.5391474854445448,0.1050976022346784,735000.0,627083.6783333333,680357.6,665375.0,107916.32166666666,54642.375,69625.0
3.0,2.0,112.0,85.0,1.3883,103.8735,0.19833169377965904,0.6116376659364456,3.237031501500402,2.7031634099078947,0.5064223718991824,0.34956538490239986,438000.0,403589.79999999993,424153.94,406950.0,34410.20000000007,13846.0625,31050.0
3.0,2.0,148.0,74.0,1.3805,103.8898,0.4034102720220467,0.7357121619239329,4.242489897195307,4.339855098236286,0.4489486101327823,0.45278035146076395,640000.0,670261.5515873018,659139.44,677000.0,-30261.551587301772,-19139.4375,-37000.0
2.0,2.0,68.0,63.0,1.3363,103.9224,0.16417739306859708,0.46753787624429227,2.46715092186615,1.3279164042549452,0.5211656026833361,0.0015741930410591576,302000.0,300230.5,301216.62,298750.0,1769.5,783.375,3250.0
3.0,2.0,93.0,91.0,1.4039,103.9055,0.15987544991142993,0.44806530779404313,4.670672681224761,6.606133682086198,0.3738575681738391,0.03215496357652778,408000.0,462761.43,465170.75,474000.0,-54761.42999999999,-57170.75,-66000.0
3.0,2.0,92.0,95.0,1.3997,103.9007,0.3172874491760894,0.16884074363128554,4.826984587894183,5.950857536710755,0.543328377134801,0.28358271981454525,482000.0,456546.6603428714,460892.3,434500.0,25453.339657128614,21107.6875,47500.0
3.0,2.0,121.0,82.0,1.428,103.7931,0.31185767044509155,0.17543062827095118,4.078542357331945,1.8448559248650556,0.06959566798299721,0.30022997741227425,405000.0,417413.4995238095,426062.12,424750.0,-12413.499523809529,-21062.125,-19750.0
3.0,2.0,86.0,81.0,1.3874,103.8898,0.4258854564711171,0.15302026065559193,4.872698616587842,4.4625396897794705,0.11139011773079066,0.11427131606369191,326000.0,343027.5,346614.44,343000.0,-17027.5,-20614.4375,-17000.0
1.0,1.0,47.0,94.0,1.4005,103.912,0.1310377582520238,0.3610506570402908,3.879143336826246,6.136942292589455,0.21449224343823664,0.12201601632434589,260000.0,257287.0833333333,258680.66,251250.0,2712.916666666686,1319.34375,8750.0
3.0,2.0,93.0,82.0,1.4506,103.8182,0.25310371782207775,0.5105249533815669,3.156217988233909,3.539712855291551,0.2679314428362471,0.1311561647710101,360000.0,389846.1890476191,373247.66,407972.0,-29846.18904761912,-13247.65625,-47972.0
3.0,2.0,110.0,84.0,1.38,103.8794,0.2933518259891731,0.3428346771375479,3.602166007694476,3.182951856869943,1.2044253462909253,0.14127780039004675,480000.0,437439.499,425613.72,435750.0,42560.50099999999,54386.28125,44250.0
3.0,2.0,94.0,62.0,1.3288,103.8508,1.4117069874360582,1.2227700816722054,1.4778443237835308,5.364568101065212,0.5536952125697139,0.34243924559162237,368000.0,464995.27666666673,454999.28,453250.0,-96995.27666666673,-86999.28125,-85250.0
3.0,2.0,100.0,82.0,1.2778,103.8217,0.419068186892066,1.2933976328107901,4.943635771142918,5.522708043970958,1.101835833384122,0.09371837075546519,680000.0,583992.5,553520.0,548750.0,96007.5,126480.0,131250.0
2.0,2.0,67.0,67.0,1.3485,103.7563,0.3619551885953554,0.5433817166410443,4.023805936350428,2.4373787159909748,0.7508467252594125,0.2511429247517667,285000.0,283612.5,267026.5,281375.0,1387.5,17973.5,3625.0
3.0,2.0,113.0,71.0,1.3791,103.8943,0.10801388201218287,0.5672774307362078,4.451803213821859,4.831063575420997,0.42442380060108553,0.23324546591130768,375000.0,447151.25,442772.75,409000.0,-72151.25,-67772.75,-34000.0
3.0,2.0,105.0,63.0,1.3542,103.9471,0.40175155108082167,0.17532749276838666,2.7219536759393987,1.6795749344635,0.22177649652138515,0.4298554066858878,460000.0,481395.9866666667,482929.7,487222.0,-21395.986666666693,-22929.6875,-27222.0
2.0,2.0,67.0,50.0,1.2936,103.8037,0.5373332104571046,0.7954286973082149,2.315434547688213,2.869456974216927,0.2749317719151763,0.1341193328306182,300000.0,288207.7733333334,289932.97,282500.0,11792.226666666626,10067.03125,17500.0
3.0,2.0,133.0,72.0,1.3833,103.7451,0.2971900871707508,0.7697519325448192,0.9926137834161031,6.342885562945456,0.1734861969681441,0.229212123093246,515000.0,487916.57333333336,512386.44,511250.0,27083.426666666637,2613.5625,3750.0
2.0,2.0,66.0,56.0,1.3231,103.8559,1.0553263106311004,0.5881519605019762,1.3678308663342078,6.038193165726019,0.738636143000825,0.06969778306860772,310000.0,294020.8828571428,277339.25,288750.0,15979.117142857227,32660.75,21250.0
3.0,2.0,95.0,95.0,1.4007,103.9117,0.17073755766634174,0.3277992645384671,3.918713770201155,6.16834450745775,0.21016642004206704,0.08743226972003029,445000.0,433232.2269682538,440334.53,437000.0,11767.773031746212,4665.46875,8000.0
2.0,2.0,59.0,57.0,1.3275,103.9422,0.4897767204045457,0.3232708929328997,1.2444431618441447,1.9720082041896596,0.44305269584162493,0.09091286428131974,240000.0,236536.62426428066,238361.66,244750.0,3463.375735719339,1638.34375,-4750.0
3.0,2.0,112.0,95.0,1.3984,103.8891,0.3928209138149381,1.0880073630410017,5.253636046626304,4.684033278512726,0.13863020163128986,0.21470265476019013,615000.0,601369.2409523809,608487.7,600750.0,13630.759047619067,6512.3125,14250.0
2.0,2.0,67.0,64.0,1.3468,103.7533,0.10032153968335905,0.16507819817412928,4.204812025442884,2.5608257237408893,0.48233638311150806,0.3827460418616259,276000.0,243695.0236666667,254899.84,255722.0,32304.976333333296,21100.15625,20278.0
3.0,2.0,92.0,66.0,1.4272,103.8341,0.40541703438757637,0.5965744944519445,0.5734032451979125,5.141818480165041,0.26894487650896387,0.2698567170661647,390000.0,393922.7063809524,376325.1,382750.0,-3922.7063809523825,13674.90625,7250.0
2.0,2.0,65.0,55.0,1.3071,103.7953,0.962161094044117,1.0259494140569347,1.1935794449980208,1.4355116023538854,0.5107746470030542,0.10394596876469711,370000.0,346283.629003539,365252.7,358250.0,23716.370996461017,4747.3125,11750.0
2.0,2.0,67.0,94.0,1.4,103.899,0.2022740769917898,0.3497522998536736,5.005524051896585,5.781273011244115,0.5946910641221712,0.4415204002963717,355000.0,350050.82142857136,343215.5,350250.0,4949.178571428638,11784.5,4750.0
3.0,2.0,93.0,91.0,1.4043,103.9059,0.12829491727259962,0.43183803735489096,4.665930004935714,6.66315192642244,0.31799950331908283,0.06004305697347123,485000.0,451315.93161904765,459177.6,444375.0,33684.06838095235,25822.40625,40625.0
3.0,2.0,100.0,79.0,1.376,103.8775,0.4664180461795663,0.5418702564591703,3.1101124485788176,2.966208437327073,1.6967691323274827,0.24369484980556788,345000.0,352078.3333333334,375823.25,345000.0,-7078.333333333372,-30823.25,0.0
3.0,2.0,96.0,66.0,1.3301,103.9103,0.14759370282789824,0.986315262532411,2.8988636912111003,2.781609278572251,0.5785916805246349,0.21199544026523937,400000.0,382503.66666666674,368423.84,374750.0,17496.333333333256,31576.15625,25250.0
3.0,2.0,110.0,83.0,1.4047,103.7485,0.26756392050651895,0.6255203813009306,2.314154142800417,5.889596718938181,0.7870702807456701,0.43186316909641775,370000.0,359700.0388888888,368161.5,366700.0,10299.961111111217,1838.5,3300.0
2.0,2.0,68.0,55.0,1.3573,103.8394,1.3118237651190645,0.4049681781373427,0.5856631943739679,2.4657668767732326,0.7906670866183897,0.23918076090723125,257000.0,263778.5146103896,260998.48,260250.0,-6778.514610389597,-3998.484375,-3250.0
2.0,2.0,86.0,58.0,1.319,103.7467,1.2864945764582463,0.10595882745845259,4.45632244233066,3.0332071300308883,1.6484054799985888,0.13493632736883543,273000.0,288442.5,277006.1,244500.0,-15442.5,-4006.09375,28500.0
2.0,2.0,65.0,54.0,1.3094,103.7949,1.2057370863730215,1.249101681700686,1.0571922352965384,1.3916420454804648,0.35709805453697296,0.10749373983829168,375000.0,401519.9875541124,404804.22,396500.0,-26519.98755411239,-29804.21875,-21500.0
3.0,2.0,110.0,82.0,1.39,103.892,0.2588219982769924,0.23998890871792516,5.247848765917723,4.762357819865327,0.39882736686965314,0.18117679746715998,472000.0,501003.63629004353,478606.34,502972.0,-29003.636290043534,-6606.34375,-30972.0
2.0,2.0,67.0,59.0,1.3697,103.856,0.5256229113984455,0.5220283628395891,1.4829734193558204,1.0494833600622133,0.7165676874549994,0.2977893798749516,250000.0,264262.49189033196,267195.47,279000.0,-14262.491890331963,-17195.46875,-29000.0
3.0,2.0,100.0,81.0,1.3403,103.7437,0.4294792110205744,0.3841132004201373,5.05659702490955,3.208713764593324,0.7976504197958585,0.23692137795982748,490000.0,512112.3,482981.47,506200.0,-22112.29999999999,7018.53125,-16200.0
2.0,2.0,61.0,56.0,1.336,103.7239,0.6970916692136423,0.6511630110793016,6.353058878051324,5.310601156024546,0.9752018537106274,0.5573830274556185,252000.0,233487.7708333333,224837.77,214250.0,18512.229166666686,27162.234375,37750.0
3.0,2.0,96.0,67.0,1.3584,103.8712,0.2564070694471037,0.12497198358142259,1.0429404725326186,3.110823191977666,0.8175998020862898,0.17958277687475266,480000.0,431778.44,448103.4,433000.0,48221.56,31896.59375,47000.0
2.0,2.0,75.0,66.0,1.3358,103.8656,1.0997029092796506,0.5361995719830825,0.4093625218760417,4.920132988325588,0.5811898446784649,0.327776723945663,358000.0,369035.67666666664,395028.2,331250.0,-11035.676666666637,-37028.1875,26750.0
3.0,2.0,103.0,70.0,1.3398,103.6883,0.10768837691831662,0.21742098996321751,8.83500900482586,9.28886481641575,0.9927366472539692,0.1301427169420986,328000.0,324248.84523809527,322503.44,313250.0,3751.154761904734,5496.5625,14750.0
3.0,2.0,124.0,71.0,1.3742,103.8761,0.7067363669798343,0.4121872354475286,2.8656125556218504,2.830771779610495,1.8384457301853867,0.3605274637666054,538000.0,505075.0,494276.06,478250.0,32925.0,43723.9375,59750.0
3.0,2.0,94.0,94.0,1.3999,103.911,0.23059217310057198,0.2981932519426604,3.9170890330778154,6.108617725019546,0.3275667686204306,0.0852650053998503,448000.0,441572.77368254,429596.4,441472.0,6427.226317460008,18403.59375,6528.0
3.0,2.0,84.0,67.0,1.3571,103.9476,0.1440770019576752,0.2959272300056504,2.45306458763481,1.9312625659785647,0.48702779715144356,0.4864767779293001,408000.0,395463.56333333335,389875.53,386375.0,12536.436666666646,18124.46875,21625.0
3.0,2.0,91.0,64.0,1.3564,103.8703,0.4241909762941888,0.3202048474842904,0.8007387499284513,3.1992177259037256,0.6012141681020892,0.07758923398455872,450000.0,463463.006984127,446085.88,460502.0,-13463.006984126987,3914.125,-10502.0
3.0,2.0,145.0,73.0,1.3787,103.7425,0.12794515314179294,0.617690549131999,1.4307247295488932,6.043930929224972,0.35762874957937896,0.10713222803434047,425000.0,492345.6666666666,498536.22,505000.0,-67345.66666666663,-73536.21875,-80000.0
3.0,2.0,100.0,82.0,1.2774,103.8216,0.39468194961007275,1.31629917439291,4.960211068300192,5.541331543234511,1.14532804500112,0.11579037522717221,485000.0,620096.6,600464.6,585722.0,-135096.59999999998,-115464.625,-100722.0
3.0,2.0,127.0,77.0,1.4316,103.7845,0.18751876305414722,0.8216768369956422,5.07685104638492,1.2419408497637878,0.6059649664883134,0.3288443083773999,469000.0,451648.0685714286,453502.97,444000.0,17351.931428571406,15497.03125,25000.0
3.0,2.0,122.0,68.0,1.3807,103.7483,0.1633409328773564,0.5033797461013313,0.7622658701038327,5.908940014992747,0.2478641556716994,0.21098960788532112,433000.0,406375.5,401426.78,406750.0,26624.5,31573.21875,26250.0
