No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,price,link
3,2,82.032701597919,94,1.320105793,103.7655735,0.43515855962364575,0.6450420375209438,2.425192272856851,1.2950903271066034,0.544560678481527,0.2228660762874935,799000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-311c-clementi-avenue-4-22219998
3,2,119.93682645856559,60,1.341535833,103.737488,0.40532453200488067,0.6051359374935349,5.126578593933662,3.9114797649418738,0.5307414595432107,0.08357769312278458,490000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-230-jurong-east-street-21-22991821
3,2,132.94314381270902,62,1.346521518,103.7348431,0.3177767260952523,0.7005477453443669,4.737090885429696,4.359184474342267,0.526521767636325,0.09109257309845577,550000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-307-jurong-east-street-32-22991826
2,2,66.98253437383873,57,1.277008235,103.8280562,0.4873128038387123,1.4465142482417468,5.3435938119755315,6.145848966795238,0.8340353950339748,0.379557890528831,320000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-142-jalan-bukit-merah-22991830
3,2,119.93682645856559,53,1.302849836,103.9131972,0.5884355491037576,1.8755618939548908,0.7729673245440437,4.977615393914881,1.8028531513555552,0.25775838466382894,798000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-29-marine-crescent-21999294
3,2,91.9732441471572,94,1.407754256,103.9009062,0.24255622285535625,0.8534122155222139,5.337331053002991,6.298680694266825,0.27228055533215695,0.14733336021268245,560000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-308a-punggol-walk-22792850
4,2,150.96618357487924,62,1.3508529969999998,103.8863299,0.9042164513408525,0.8171304339830177,2.205424280036038,4.736686344784472,1.0266669293516903,0.17404296985645196,650000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-132-lorong-ah-soo-22895063
3,2,109.99628390932739,94,1.405977041,103.8985441,0.10747773499532692,0.7586182907940356,5.419550573870765,5.977342260020732,0.15716967087567224,0.20245564800146537,600000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-664a-punggol-drive-22789422
2,2,66.98253437383873,94,1.407754256,103.9009062,0.24255622285535625,0.8534122155222139,5.337331053002991,6.298680694266825,0.27228055533215695,0.14733336021268245,438000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-308a-punggol-walk-22973149
3,2,91.9732441471572,94,1.407754256,103.9009062,0.24255622285535625,0.8534122155222139,5.337331053002991,6.298680694266825,0.27228055533215695,0.14733336021268245,550000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-308a-punggol-walk-22914763
3,2,111.94723151244891,92,1.423122016,103.8474982,0.4954153372213622,0.3681536087241424,1.992718135328288,4.396192331473788,1.5513435136158757,0.2601259973952876,499000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-426d-yishun-ave-11-22436421
3,2,103.95763656633223,62,1.3523186230000002,103.948458,0.2503229575207098,0.25866407616886056,2.974010032719155,1.6937417437452105,0.3560748554951472,0.32182301183028533,440000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-250-tampines-street-21-22361237
3,2,91.9732441471572,86,1.3829049569999998,103.8937135,0.2379638321503471,0.6079810764098404,4.723370461169441,4.799168760554402,0.06428675536116314,0.10885193053971422,590000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-275d-compassvale-link-22220532
3,2,91.9732441471572,93,1.406015347,103.8965083,0.28353094230529186,0.9017784419089453,5.604740351101384,5.774093493844935,0.11611261736544465,0.32765431537944706,400000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-261b-punggol-way-22937798
3,2,91.9732441471572,58,1.328523202,103.932856,0.2275537168306236,0.6595607160579852,1.159545398830061,1.5995230698269982,0.5881169615211737,0.04761608839253315,438000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-408-bedok-north-avenue-2-22135751
3,2,91.9732441471572,80,1.281155585,103.8272666,0.3918995809780537,1.2356485946203728,4.9024508955178625,5.822327906504481,0.5494406341973801,0.237673350712754,750000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-119b-kim-tian-road-22505887
3,2,119.0078037904125,57,1.330301637,103.9310862,0.08887823818227546,0.6291438943679238,1.4088200878783348,1.424022622107848,0.708860939149263,0.3196166572203331,575000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-413-bedok-north-avenue-2-21277335
