address,link,price,bedrooms,bathrooms,floor_area,list_date,year_built,date_scraped
138A Lorong 1A Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-138a-lorong-1a-toa-payoh-22244924,"795,000",3 ,2 ,976,17m,2012,2020-07-15 17:14:41.615238
252 Hougang Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-252-hougang-avenue-3-22462401,"370,000",3 ,2 ,1001,17m,1984,2020-07-15 17:14:41.615238
44 Marine Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-44-marine-crescent-22258306,"780,000",3 ,2 ,1292,18m,1975,2020-07-15 17:14:41.615238
544 Pasir Ris Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-544-pasir-ris-street-51-22100540,"699,000",4 ,2 ,1549,18m,1991,2020-07-15 17:14:41.615238
632B Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-632b-punggol-drive-22963473,"428,000",3 ,2 ,990,19m,2006,2020-07-15 17:14:41.615238
333A Anchorvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-333a-anchorvale-link-21919721,"430,000",3 ,2 ,990,19m,2014,2020-07-15 17:14:41.615238
333A Anchorvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-333a-anchorvale-link-21919721,"430,000",3 ,2 ,990,20m,2014,2020-07-15 17:14:41.615238
308B Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-308b-punggol-walk-22446306,"700,000",3 ,2 ,1206,20m,2015,2020-07-15 17:14:41.615238
471A Upper Serangoon Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-471a-upper-serangoon-crescent-22126253,"465,000",3 ,2 ,990,21m,2014,2020-07-15 17:14:41.615238
310C Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-310c-punggol-walk-22780610,"650,000",3 ,2 ,1205,21m,2015,2020-07-15 17:14:41.615238
403 Yishun Avenue 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-403-yishun-avenue-6-22999563,"358,000",3 ,2 ,1119,22m,1987,2020-07-15 17:14:41.615238
528C Pasir Ris Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-528c-pasir-ris-street-51-22300046,"750,000",3 ,2 ,1216,22m,2014,2020-07-15 17:14:41.615238
315B Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-315b-punggol-way-22980800,"488,888",3 ,2 ,1001,22m,2016,2020-07-15 17:14:41.615238
