address,link,price,bedrooms,bathrooms,floor_area,list_date,year_built,date_scraped
503 Jelapang Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-503-jelapang-road-22270042,"685,000",4 ,3 ,1550,2h,1996,2020-07-15 17:14:41.615238
86 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-86-dawson-road-22875326,"928,000",3 ,2 ,936,2h,2015,2020-07-15 17:14:41.615238
101 Simei Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-101-simei-street-1-22787783,"430,000",3 ,2 ,1119,2h,1988,2020-07-15 17:14:41.615238
411 Pandan Gardens,https://www.propertyguru.com.sg/listing/hdb-for-sale-411-pandan-gardens-21087229,"265,000",2 ,1 ,775,2h,1978,2020-07-15 17:14:41.615238
760 Pasir Ris Street 71,https://www.propertyguru.com.sg/listing/hdb-for-sale-760-pasir-ris-street-71-22514411,"430,000",3 ,2 ,1130,2h,1995,2020-07-15 17:14:41.615238
49 Telok Blangah Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-49-telok-blangah-drive-22073344,"880,000",3 ,2 ,1323,2h,1976,2020-07-15 17:14:41.615238
201D Tampines Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-201d-tampines-street-21-22579985,"395,000",2 ,2 ,880,2h,1985,2020-07-15 17:14:41.615238
196A Punggol Field,https://www.propertyguru.com.sg/listing/hdb-for-sale-196a-punggol-field-22937117,"480,000",3 ,2 ,1184,2h,2001,2020-07-15 17:14:41.615238
128 Lorong Ah Soo,https://www.propertyguru.com.sg/listing/hdb-for-sale-128-lorong-ah-soo-21923572,"625,000",3 ,3 ,1604,2h,1983,2020-07-15 17:14:41.615238
266D Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-266d-punggol-way-22944194,"528,000",3 ,2 ,990,2h,2014,2020-07-15 17:14:41.615238
220B Bedok Central,https://www.propertyguru.com.sg/listing/hdb-for-sale-220b-bedok-central-22996421,"695,000",3 ,2 ,936,2h,2010,2020-07-15 17:14:41.615238
406B Fernvale Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-406b-fernvale-road-22066484,"420,000",3 ,2 ,1184,1h,2003,2020-07-15 17:14:41.615238
180 Bedok North Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-180-bedok-north-road-22896186,"680,000",3 ,2 ,914,2h,2004,2020-07-15 17:14:41.615238
665C Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-665c-punggol-drive-22958126,"518,000",3 ,2 ,1001,2h,2015,2020-07-15 17:14:41.615238
461 Choa Chu Kang Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-461-choa-chu-kang-avenue-4-22977227,"435,000",3 ,2 ,1324,2h,1998,2020-07-15 17:14:41.615238
750 Pasir Ris Street 71,https://www.propertyguru.com.sg/listing/hdb-for-sale-750-pasir-ris-street-71-22975058,"435,000",3 ,2 ,1130,2h,1995,2020-07-15 17:14:41.615238
373 Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-373-clementi-avenue-4-22420077,"435,000",3 ,2 ,980,44m,1981,2020-07-15 17:14:41.615238
244 Jurong East Street 24,https://www.propertyguru.com.sg/listing/hdb-for-sale-244-jurong-east-street-24-22994926,"380,000",3 ,2 ,1194,2h,1982,2020-07-15 17:14:41.615238
175A Yung Kuang Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-175a-yung-kuang-road-21954874,"530,000",3 ,2 ,1216,2h,2014,2020-07-15 17:14:41.615238
26B Jalan Membina,https://www.propertyguru.com.sg/listing/hdb-for-sale-26b-jalan-membina-22403715,"820,000",3 ,2 ,915,2h,2007,2020-07-15 17:14:41.615238
267 Bishan Street 24,https://www.propertyguru.com.sg/listing/hdb-for-sale-267-bishan-street-24-22075448,"600,000",3 ,2 ,1119,2h,1991,2020-07-15 17:14:41.615238
17 Jalan Tenteram,https://www.propertyguru.com.sg/listing/hdb-for-sale-17-jalan-tenteram-22075399,"620,000",3 ,2 ,1130,2h,1999,2020-07-15 17:14:41.615238
335A Anchorvale Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-335a-anchorvale-crescent-22863123,"600,000",4 ,2 ,1195,2h,2014,2020-07-15 17:14:41.615238
689E Woodlands Drive 75,https://www.propertyguru.com.sg/listing/hdb-for-sale-689e-woodlands-drive-75-23001222,"355,000",3 ,2 ,968,2h,2002,2020-07-15 17:14:41.615238
129 Bukit Merah View,https://www.propertyguru.com.sg/listing/hdb-for-sale-129-bukit-merah-view-21020366,"318,000",3 ,2 ,699,2h,1973,2020-07-15 17:14:41.615238
2 Holland Avenue,https://www.propertyguru.com.sg/listing/hdb-for-sale-2-holland-avenue-22994681,"418,000",2 ,1 ,700,2h,1974,2020-07-15 17:14:41.615238
308B Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-308b-punggol-walk-22876689,"688,000",3 ,2 ,1205,2h,2015,2020-07-15 17:14:41.615238
325B Sengkang East Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-325b-sengkang-east-way-22719920,"485,000",3 ,2 ,1184,2h,2000,2020-07-15 17:14:41.615238
113 Simei Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-113-simei-street-1-21951891,"540,000",3 ,2 ,1323,2h,1987,2020-07-15 17:14:41.615238
9 Boon Keng Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-9-boon-keng-road-22983366,"940,000",3 ,2 ,1151,2h,2011,2020-07-15 17:14:41.615238
665A Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-665a-punggol-drive-22960838,"670,000",3 ,2 ,1206,2h,2015,2020-07-15 17:14:41.615238
548 Pasir Ris Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-548-pasir-ris-street-51-22994894,"728,000",4 ,2 ,1550,2h,1991,2020-07-15 17:14:41.615238
104 Potong Pasir Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-104-potong-pasir-avenue-1-22514376,"400,000",2 ,2 ,796,2h,1984,2020-07-15 17:14:41.615238
303 Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-303-clementi-avenue-4-22015457,"310,000",2 ,2 ,721,2h,1978,2020-07-15 17:14:41.615238
774 Bedok Reservoir View,https://www.propertyguru.com.sg/listing/hdb-for-sale-774-bedok-reservoir-view-22313590,"572,000",3 ,2 ,1130,2h,1999,2020-07-15 17:14:41.615238
669B Edgefield Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-669b-edgefield-plains-22999670,"660,000",3 ,2 ,1184,2h,2015,2020-07-15 17:14:41.615238
662A Edgedale Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-662a-edgedale-plains-22986568,"530,000",3 ,2 ,1001,1h,2016,2020-07-15 17:14:41.615238
326B Anchorvale Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-326b-anchorvale-road-22988321,"495,000",3 ,2 ,990,2h,2014,2020-07-15 17:14:41.615238
332A Anchorvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-332a-anchorvale-link-22349802,"518,000",3 ,2 ,990,2h,2014,2020-07-15 17:14:41.615238
308C Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-308c-punggol-walk-22889794,"728,000",3 ,2 ,1206,1h,2015,2020-07-15 17:14:41.615238
259A Punggol Field,https://www.propertyguru.com.sg/listing/hdb-for-sale-259a-punggol-field-22953218,"660,000",5 ,2 ,1216,2h,2014,2020-07-15 17:14:41.615238
270B Punggol Field,https://www.propertyguru.com.sg/listing/hdb-for-sale-270b-punggol-field-22985882,"650,000",3 ,2 ,1237,2h,2011,2020-07-15 17:14:41.615238
101 Jalan Rajah,https://www.propertyguru.com.sg/listing/hdb-for-sale-101-jalan-rajah-22234834,"445,000",3 ,2 ,1012,1h,1980,2020-07-15 17:14:41.615238
239 Lorong 1 Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-239-lorong-1-toa-payoh-22739110,"700,000",3 ,2 ,1324,2h,1986,2020-07-15 17:14:41.615238
103 Lengkong Tiga,https://www.propertyguru.com.sg/listing/hdb-for-sale-103-lengkong-tiga-22132442,"790,000",4 ,2 ,1399,2h,1988,2020-07-15 17:14:41.615238
310B Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-310b-punggol-walk-22902172,"738,000",3 ,2 ,1206,2h,2015,2020-07-15 17:14:41.615238
27 New Upper Changi Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-27-new-upper-changi-road-22353330,"350,000",2 ,1 ,797,2h,1976,2020-07-15 17:14:41.615238
506B Serangoon North Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-506b-serangoon-north-avenue-4-23000492,"750,000",3 ,2 ,1571,2h,1992,2020-07-15 17:14:41.615238
522A Tampines Central 7,https://www.propertyguru.com.sg/listing/hdb-for-sale-522a-tampines-central-7-22888928,"550,000",3 ,2 ,1001,2h,2014,2020-07-15 17:14:41.615238
351 Tampines Street 33,https://www.propertyguru.com.sg/listing/hdb-for-sale-351-tampines-street-33-22494953,"528,000",3 ,2 ,1431,2h,1994,2020-07-15 17:14:41.615238
269B Queen Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-269b-queen-street-22475412,"450,000",2 ,2 ,731,2h,1983,2020-07-15 17:14:41.615238
512 Bukit Batok Street 52,https://www.propertyguru.com.sg/listing/hdb-for-sale-512-bukit-batok-street-52-22351343,"530,000",3 ,3 ,1571,2h,1986,2020-07-15 17:14:41.615238
10A Boon Tiong Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-10a-boon-tiong-road-22954633,"970,000",3 ,2 ,990,2h,2014,2020-07-15 17:14:41.615238
442D Fajar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-442d-fajar-road-22989851,"560,000",3 ,2 ,1216,2h,2015,2020-07-15 17:14:41.615238
247 Hougang Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-247-hougang-avenue-3-22984698,"305,000",2 ,2 ,721,2h,1983,2020-07-15 17:14:41.615238
311C Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-311c-clementi-avenue-4-22986194,"999,008",3 ,2 ,1130,2h,2015,2020-07-15 17:14:41.615238
9 Eunos Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-9-eunos-crescent-22216343,"418,000",3 ,2 ,980,2h,1977,2020-07-15 17:14:41.615238
527D Pasir Ris Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-527d-pasir-ris-street-51-22994284,"430,000",2 ,1 ,732,2h,2014,2020-07-15 17:14:41.615238
8A Boon Tiong Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-8a-boon-tiong-road-22512070,"950,000",2 ,2 ,1238,2h,2003,2020-07-15 17:14:41.615238
220B Bedok Central,https://www.propertyguru.com.sg/listing/hdb-for-sale-220b-bedok-central-22945587,"695,000",3 ,2 ,936,2h,2008,2020-07-15 17:14:41.615238
416 Yishun Avenue 11,https://www.propertyguru.com.sg/listing/hdb-for-sale-416-yishun-avenue-11-22924747,"388,000",3 ,2 ,1119,2h,1992,2020-07-15 17:14:41.615238
180 Bedok North Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-180-bedok-north-road-22569235,"490,000",3 ,2 ,990,2h,2004,2020-07-15 17:14:41.615238
311B Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-311b-clementi-avenue-4-22660008,"850,000",3 ,2 ,860,2h,2015,2020-07-15 17:14:41.615238
359 Clementi Avenue 2,https://www.propertyguru.com.sg/listing/hdb-for-sale-359-clementi-avenue-2-21527215,"500,000",3 ,2 ,990,1h,1977,2020-07-15 17:14:41.615238
524 Serangoon North Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-524-serangoon-north-avenue-4-22351985,"420,000",3 ,2 ,1109,2h,1990,2020-07-15 17:14:41.615238
309 Serangoon Avenue 2,https://www.propertyguru.com.sg/listing/hdb-for-sale-309-serangoon-avenue-2-22488751,"475,000",3 ,2 ,1023,2h,1984,2020-07-15 17:14:41.615238
9 Boon Keng Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-9-boon-keng-road-22793356,"850,000",3 ,2 ,1173,2h,2011,2020-07-15 17:14:41.615238
308 Tampines Street 32,https://www.propertyguru.com.sg/listing/hdb-for-sale-308-tampines-street-32-22964764,"647,000",4 ,2 ,1529,2h,1992,2020-07-15 17:14:41.615238
550A Segar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-550a-segar-road-22965205,"420,000",3 ,2 ,968,2h,2014,2020-07-15 17:14:41.615238
335A Anchorvale Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-335a-anchorvale-crescent-22984047,"510,000",3 ,2 ,1022,2h,2014,2020-07-15 17:14:41.615238
88 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-88-dawson-road-22964860,"868,000",3 ,2 ,893,2h,2015,2020-07-15 17:14:41.615238
476C Upper Serangoon View,https://www.propertyguru.com.sg/listing/hdb-for-sale-476c-upper-serangoon-view-22035206,"750,000",3 ,2 ,1206,2h,2014,2020-07-15 17:14:41.615238
324A Sengkang East Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-324a-sengkang-east-way-21584242,"408,000",3 ,2 ,915,2h,2000,2020-07-15 17:14:41.615238
17 Toh Yi Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-17-toh-yi-drive-21475407,"730,000",3 ,2 ,1302,2h,1988,2020-07-15 17:14:41.615238
2 Toh Yi Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-2-toh-yi-drive-23000613,"1,250,000",4 ,3 ,1658,2h,1988,2020-07-15 17:14:41.615238
329B Anchorvale Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-329b-anchorvale-street-22958018,"455,000",3 ,2 ,1001,2h,2014,2020-07-15 17:14:41.615238
310A Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-310a-punggol-walk-22549191,"510,000",3 ,2 ,990,2h,2015,2020-07-15 17:14:41.615238
6 Holland Close,https://www.propertyguru.com.sg/listing/hdb-for-sale-6-holland-close-21610197,"378,000",3 ,2 ,700,2h,1973,2020-07-15 17:14:41.615238
530C Pasir Ris Drive 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-530c-pasir-ris-drive-1-22813266,"550,000",2 ,2 ,700,2h,2015,2020-07-15 17:14:41.615238
288B Punggol Place,https://www.propertyguru.com.sg/listing/hdb-for-sale-288b-punggol-place-21826318,"473,000",3 ,2 ,1001,2h,2011,2020-07-15 17:14:41.615238
477B Upper Serangoon View,https://www.propertyguru.com.sg/listing/hdb-for-sale-477b-upper-serangoon-view-22923082,"760,000",3 ,2 ,1206,2h,2015,2020-07-15 17:14:41.615238
148 Tampines Avenue 5,https://www.propertyguru.com.sg/listing/hdb-for-sale-148-tampines-avenue-5-22987233,"730,000",3 ,3 ,1615,2h,1984,2020-07-15 17:14:41.615238
433B Sengkang West Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-433b-sengkang-west-way-22213623,"450,000",3 ,2 ,990,2h,NaN,2020-07-15 17:14:41.615238
208 Pasir Ris Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-208-pasir-ris-street-21-22165775,"599,000",4 ,2 ,1582,2h,1993,2020-07-15 17:14:41.615238
450 Pasir Ris Drive 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-450-pasir-ris-drive-6-22976494,"450,000",3 ,2 ,1109,2h,1989,2020-07-15 17:14:41.615238
988A Jurong West Street 93,https://www.propertyguru.com.sg/listing/hdb-for-sale-988a-jurong-west-street-93-22961257,"480,000",3 ,2 ,1184,2h,2001,2020-07-15 17:14:41.615238
54 Cassia Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-54-cassia-crescent-22946644,"499,000",3 ,2 ,990,2h,1982,2020-07-15 17:14:41.615238
271 Tampines Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-271-tampines-street-21-22837861,"380,000",3 ,2 ,1088,2h,1984,2020-07-15 17:14:41.615238
158B Rivervale Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-158b-rivervale-crescent-22978375,"445,000",3 ,2 ,1184,2h,2001,2020-07-15 17:14:41.615238
309A Ang Mo Kio Street 31,https://www.propertyguru.com.sg/listing/hdb-for-sale-309a-ang-mo-kio-street-31-22094329,"790,000",3 ,2 ,1184,2h,2005,2020-07-15 17:14:41.615238
97 Whampoa Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-97-whampoa-drive-22815784,"290,000",2 ,1 ,710,2h,1973,2020-07-15 17:14:41.615238
57 Geylang Bahru,https://www.propertyguru.com.sg/listing/hdb-for-sale-57-geylang-bahru-22376078,"275,000",2 ,1 ,700,2h,1974,2020-07-15 17:14:41.615238
3A Holland Close,https://www.propertyguru.com.sg/listing/hdb-for-sale-3a-holland-close-21867742,"1,060,000",3 ,2 ,1345,2h,1997,2020-07-15 17:14:41.615238
9 Holland Avenue,https://www.propertyguru.com.sg/listing/hdb-for-sale-9-holland-avenue-22455806,"470,000",3 ,2 ,699,2h,1973,2020-07-15 17:14:41.615238
301 Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-301-clementi-avenue-4-22196466,"450,000",3 ,2 ,990,2h,1978,2020-07-15 17:14:41.615238
301 Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-301-clementi-avenue-4-22196466,"450,000",3 ,2 ,990,2h,1978,2020-07-15 17:14:41.615238
149 Tampines Street 12,https://www.propertyguru.com.sg/listing/hdb-for-sale-149-tampines-street-12-22886072,"788,000",3 ,2 ,1615,2h,1983,2020-07-15 17:14:41.615238
207B Punggol Place,https://www.propertyguru.com.sg/listing/hdb-for-sale-207b-punggol-place-22115764,"580,000",3 ,2 ,1206,2h,2012,2020-07-15 17:14:41.615238
87 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-87-dawson-road-22579834,"928,000",3 ,2 ,894,2h,2015,2020-07-15 17:14:41.615238
29 Kelantan Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-29-kelantan-road-22986332,"820,000",6 ,4 ,1615,2h,1977,2020-07-15 17:14:41.615238
259C Punggol Field,https://www.propertyguru.com.sg/listing/hdb-for-sale-259c-punggol-field-22982059,"488,000",3 ,2 ,1001,1h,2014,2020-07-15 17:14:41.615238
167 Bedok South Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-167-bedok-south-avenue-3-22327752,"748,000",4 ,3 ,1571,2h,1985,2020-07-15 17:14:41.615238
311B Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-311b-clementi-avenue-4-22368985,"549,999",2 ,2 ,646,2h,2015,2020-07-15 17:14:41.615238
141 Bishan Street 12,https://www.propertyguru.com.sg/listing/hdb-for-sale-141-bishan-street-12-22494707,"699,800",4 ,2 ,1302,2h,1987,2020-07-15 17:14:41.615238
19 Jalan Membina,https://www.propertyguru.com.sg/listing/hdb-for-sale-19-jalan-membina-22996880,"958,000",3 ,2 ,1184,2h,2001,2020-07-15 17:14:41.615238
52 Kent Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-52-kent-road-20532304,"468,000",3 ,2 ,980,3h,1981,2020-07-15 17:14:41.615238
151 Tampines Street 12,https://www.propertyguru.com.sg/listing/hdb-for-sale-151-tampines-street-12-22305317,"838,000",3 ,3 ,1615,3h,1984,2020-07-15 17:14:41.615238
9 Boon Keng Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-9-boon-keng-road-22083776,"930,000",3 ,2 ,1152,3h,2011,2020-07-15 17:14:41.615238
520C Tampines Central 8,https://www.propertyguru.com.sg/listing/hdb-for-sale-520c-tampines-central-8-22400907,"515,000",2 ,2 ,667,1h,2014,2020-07-15 17:14:41.615238
234A Serangoon Avenue 2,https://www.propertyguru.com.sg/listing/hdb-for-sale-234a-serangoon-avenue-2-22962591,"869,000",4 ,2 ,1506,3h,1997,2020-07-15 17:14:41.615238
879 Tampines Avenue 8,https://www.propertyguru.com.sg/listing/hdb-for-sale-879-tampines-avenue-8-22002740,"450,000",3 ,2 ,1108,3h,1987,2020-07-15 17:14:41.615238
430B Yishun Avenue 11,https://www.propertyguru.com.sg/listing/hdb-for-sale-430b-yishun-avenue-11-22295370,"379,000",3 ,2 ,990,3h,2014,2020-07-15 17:14:41.615238
9B Boon Tiong Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-9b-boon-tiong-road-22535338,"998,000",3 ,2 ,990,3h,2014,2020-07-15 17:14:41.615238
138D Yuan Ching Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-138d-yuan-ching-road-22934552,"629,000",3 ,2 ,958,3h,2014,2020-07-15 17:14:41.615238
515B Tampines Central 7,https://www.propertyguru.com.sg/listing/hdb-for-sale-515b-tampines-central-7-22089646,"750,000",3 ,2 ,1173,3h,2009,2020-07-15 17:14:41.615238
44 Bedok South Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-44-bedok-south-road-20648360,"385,000",3 ,1 ,904,2h,1977,2020-07-15 17:14:41.615238
121 Paya Lebar Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-121-paya-lebar-way-22001191,"388,000",3 ,2 ,979,3h,1979,2020-07-15 17:14:41.615238
563 Ang Mo Kio Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-563-ang-mo-kio-avenue-3-22164649,"410,000",2 ,2 ,990,3h,1979,2020-07-15 17:14:41.615238
311 Tampines Street 33,https://www.propertyguru.com.sg/listing/hdb-for-sale-311-tampines-street-33-22335298,"699,000",4 ,2 ,1539,3h,1992,2020-07-15 17:14:41.615238
421 Pasir Ris Drive 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-421-pasir-ris-drive-6-22831212,"448,000",3 ,2 ,1141,3h,1988,2020-07-15 17:14:41.615238
144 Lorong 2 Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-144-lorong-2-toa-payoh-22113236,"865,000",3 ,2 ,1184,3h,2000,2020-07-15 17:14:41.615238
636C Senja Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-636c-senja-road-22651304,"478,000",3 ,2 ,990,1h,2014,2020-07-15 17:14:41.615238
125 Serangoon North Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-125-serangoon-north-avenue-1-22922615,"668,888",3 ,2 ,1593,3h,1984,2020-07-15 17:14:41.615238
308C Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-308c-punggol-walk-22494118,"450,000",2 ,2 ,721,3h,2015,2020-07-15 17:14:41.615238
436C Fernvale Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-436c-fernvale-road-22997750,"455,000",3 ,2 ,1033,3h,2007,2020-07-15 17:14:41.615238
453C Fernvale Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-453c-fernvale-road-22220957,"450,000",3 ,2 ,990,3h,2014,2020-07-15 17:14:41.615238
420 Fajar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-420-fajar-road-22972240,"380,000",3 ,2 ,1119,3h,1988,2020-07-15 17:14:41.615238
603 Hougang Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-603-hougang-avenue-4-22967264,"388,888",3 ,2 ,1119,3h,1985,2020-07-15 17:14:41.615238
Bedok Reservoir Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-bedok-reservoir-road-22911487,"400,000",3 ,2 ,979,3h,1985,2020-07-15 17:14:41.615238
351 Hougang Avenue 7,https://www.propertyguru.com.sg/listing/hdb-for-sale-351-hougang-avenue-7-22492889,"370,000",3 ,2 ,1054,3h,1984,2020-07-15 17:14:41.615238
671A Edgefield Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-671a-edgefield-plains-22407670,"460,000",3 ,2 ,965,1h,2014,2020-07-15 17:14:41.615238
656C Jurong West Street 61,https://www.propertyguru.com.sg/listing/hdb-for-sale-656c-jurong-west-street-61-22997641,"480,000",3 ,2 ,1205,3h,2000,2020-07-15 17:14:41.615238
665C Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-665c-punggol-drive-22494578,"405,000",2 ,2 ,731,3h,2015,2020-07-15 17:14:41.615238
10A Boon Tiong Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-10a-boon-tiong-road-22957767,"948,000",3 ,2 ,990,3h,2014,2020-07-15 17:14:41.615238
376C Hougang Street 32,https://www.propertyguru.com.sg/listing/hdb-for-sale-376c-hougang-street-32-22383702,"528,000",3 ,2 ,990,3h,2015,2020-07-15 17:14:41.615238
258C Punggol Field,https://www.propertyguru.com.sg/listing/hdb-for-sale-258c-punggol-field-22615059,"650,000",3 ,2 ,1216,3h,2014,2020-07-15 17:14:41.615238
606 Yishun Street 61,https://www.propertyguru.com.sg/listing/hdb-for-sale-606-yishun-street-61-22500074,"580,000",4 ,2 ,1528,3h,1986,2020-07-15 17:14:41.615238
92 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-92-dawson-road-23000858,"868,000",3 ,2 ,936,3h,2015,2020-07-15 17:14:41.615238
511 Bukit Batok Street 52,https://www.propertyguru.com.sg/listing/hdb-for-sale-511-bukit-batok-street-52-22260234,"482,000",3 ,2 ,1313,3h,1986,2020-07-15 17:14:41.615238
298D Compassvale Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-298d-compassvale-street-22388492,"630,000",4 ,2 ,1442,3h,1999,2020-07-15 17:14:41.615238
42 Kim Cheng Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-42-kim-cheng-street-21740477,"680,000",2 ,1 ,947,3h,1949,2020-07-15 17:14:41.615238
799 Yishun Ring Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-799-yishun-ring-road-22843865,"510,000",3 ,2 ,1323,3h,1986,2020-07-15 17:14:41.615238
137 Simei Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-137-simei-street-1-22969743,"599,999",3 ,2 ,1302,3h,1987,2020-07-15 17:14:41.615238
120 Simei Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-120-simei-street-1-22955551,"490,000",3 ,2 ,1120,3h,1987,2020-07-15 17:14:41.615238
515B Tampines Central 7,https://www.propertyguru.com.sg/listing/hdb-for-sale-515b-tampines-central-7-22894562,"799,000",3 ,2 ,1163,3h,2009,2020-07-15 17:14:41.615238
117 Clementi Street 13,https://www.propertyguru.com.sg/listing/hdb-for-sale-117-clementi-street-13-22894050,"585,000",3 ,2 ,1119,3h,1984,2020-07-15 17:14:41.615238
467B Fernvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-467b-fernvale-link-22417207,"450,000",3 ,2 ,1001,3h,2015,2020-07-15 17:14:41.615238
625 Bedok Reservoir Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-625-bedok-reservoir-road-22989540,"290,000",2 ,2 ,732,3h,1980,2020-07-15 17:14:41.615238
156 Lorong 1 Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-156-lorong-1-toa-payoh-22325720,"878,000",4 ,2 ,1270,3h,1997,2020-07-15 17:14:41.615238
113 Bishan Street 12,https://www.propertyguru.com.sg/listing/hdb-for-sale-113-bishan-street-12-22283004,"520,000",3 ,2 ,904,3h,1985,2020-07-15 17:14:41.615238
310A Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-310a-punggol-walk-22983330,"510,000",3 ,2 ,990,3h,2015,2020-07-15 17:14:41.615238
213 Yishun Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-213-yishun-street-21-22989191,"470,000",3 ,2 ,1302,3h,1984,2020-07-15 17:14:41.615238
